Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,8883.0184,8883.0184
,BEVERAGE - ,,,,,,,,,873.0748,873.0748
,,ACQUA - ,,,,,,,,-1.8384,-1.8384
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,1,0.1181,0.1181
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,-13,-1.9565,-1.9565
,,CAFFETT - ,,,,,,,,599.9944,599.9944
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,8,9.7027,9.7027
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,4,10.2884,10.2884
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,5,9.0076,9.0076
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,7,17.8787,17.8787
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,3,0.7763,0.7763
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,5,15.0212,15.0212
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,24,77.6945,77.6945
,,,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1.0,24.0,4,96.0,96.0
,,,BEV.CAF.00026,CAFFE AMERICANO SOLUBILE 500GR X 10,PZ,PZ,1.0,3.46,4,13.84,13.84
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,33,4.785,4.785
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,23,345.0,345.0
,,LATTE - ,,,,,,,,48.5327,48.5327
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,27,31.977,31.977
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,-1,-1.4029,-1.4029
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,4,5.7675,5.7675
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,10,10.0111,10.0111
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,2,2.18,2.18
,,SOFDRINK - ,,,,,,,,225.0361,225.0361
,,,BEV.SOF.00024,SUCCO ARANCIA ROSSA BRICK 1LT,LT,CL,100.0,1.4133,6,8.4798,8.4798
,,,BEV.SOF.00026,SUCCO ANANAS BRICK 1LT,LT,CL,100.0,1.4133,8,11.3064,11.3064
,,,BEV.SOF.00046,"SUCCO ARANCIA BIONDA DERBY 1,5LTX6",LT,CL,100.0,1.25,61.5,76.2352,76.2352
,,,BEV.SOF.00047,"SUCCO ANANAS DERBY 1,5LTX6",LT,CL,100.0,1.2089,36,52.6,52.6
,,,BEV.SOF.00048,SUCCO ARANCIA ROSSA PFANNER 2LT,PZ,PZ,1.0,1.845,3,5.535,5.535
,,,BEV.SOF.00049,SUCCO ACE BRICK 1LT,LT,CL,100.0,1.4133,9,12.7197,12.7197
,,,BEV.SOF.00050,"SUCCO ARANCIA ROSSA DERBY 1,5LT",LT,CL,100.0,1.1625,45,58.16,58.16
,,VINOBIAN - ,,,,,,,,1.35,1.35
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,1,1.35,1.35
,FOOD - ,,,,,,,,,7132.0641,7132.0641
,,BURR - ,,,,,,,,69.7704,69.7704
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,5,44.5,44.5
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,3.4,25.2704,25.2704
,,CARNEROS - ,,,,,,,,209.0236,209.0236
,,,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1.0,7.664,27.87,209.0236,209.0236
,,CEREALI - ,,,,,,,,64.4822,64.4822
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,4,0.5926,0.5926
