Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,15004.036,15004.036
,BEVERAGE - ,,,,,,,,,1703.2862,1703.2862
,,ACQUA - ,,,,,,,,12.775,12.775
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,14,1.6534,1.6534
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,74,11.1216,11.1216
,,CAFFETT - ,,,,,,,,801.2771,801.2771
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,3,3.6384,3.6384
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,2,5.1442,5.1442
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,4,7.206,7.206
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,3,0.7764,0.7764
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,11,33.9342,33.9342
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,3,9.6329,9.6329
,,,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1.0,24.0,5,120.0,120.0
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,41,5.945,5.945
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,41,615.0,615.0
,,LATTE - ,,,,,,,,150.6591,150.6591
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,97,117.3585,117.3585
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,2,3.0146,3.0146
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,4,5.7676,5.7676
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,19,19.5029,19.5029
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,4,5.0155,5.0155
,,SOFDRINK - ,,,,,,,,735.875,735.875
,,,BEV.SOF.00024,SUCCO ARANCIA ROSSA BRICK 1LT,LT,CL,100.0,1.4133,3,4.2399,4.2399
,,,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1.0,41.75,4,167.0,167.0
,,,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1.0,41.75,4,167.0,167.0
,,,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1.0,41.75,4,167.0,167.0
,,,BEV.SOF.00046,"SUCCO ARANCIA BIONDA DERBY 1,5LTX6",LT,CL,100.0,1.25,82.5,103.125,103.125
,,,BEV.SOF.00047,"SUCCO ANANAS DERBY 1,5LTX6",LT,CL,100.0,1.2089,36,50.7837,50.7837
,,,BEV.SOF.00050,"SUCCO ARANCIA ROSSA DERBY 1,5LT",LT,CL,100.0,1.1625,66,76.7264,76.7264
,,VINOBIAN - ,,,,,,,,2.7,2.7
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,2,2.7,2.7
,FOOD - ,,,,,,,,,11510.6567,11510.6567
,,BURR - ,,,,,,,,176.1989,176.1989
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,15,138.1143,138.1143
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,4.2,38.0846,38.0846
,,CARNEROS - ,,,,,,,,434.4534,434.4534
,,,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1.0,7.664,57.45,434.4534,434.4534
,,CEREALI - ,,,,,,,,168.1358,168.1358
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,6.5,0.9627,0.9627
,,,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1.0,5.1664,11,54.9031,54.9031
,,,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1.0,3.8617,10,43.47,43.47
,,,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1.0,5.4415,16,68.8,68.8
,,FARINA - ,,,,,,,,6.6986,6.6986
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,5,6.6986,6.6986
,,FORMAGG - ,,,,,,,,548.1438,548.1438
,,,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000.0,7.3838,45.296,330.292,330.292
,,,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1.0,16.7349,13,217.8518,217.8518
,,FRUTTFRE - ,,,,,,,,1594.1917,1594.1917
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,234.32,516.9208,516.9208
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,162.5,260.0,260.0
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,7.23,12.7563,12.7563
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,201,331.6845,331.6845
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,143,259.1301,259.1301
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,111,210.9,210.9
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,0.7,2.8,2.8
,,MONODOLC - ,,,,,,,,184.2577,184.2577
,,,FOO.MDO.00001,BIFETTE MULINO BIANCO GR17X100PZ,PZ,PZ,1.0,0.1379,99,13.0383,13.0383
,,,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1.0,0.1381,102,13.617,13.617
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,9,22.7053,22.7053
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,7,15.9992,15.9992
,,,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1.0,0.1801,638,116.435,116.435
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,2,2.4629,2.4629
,,OLIO - ,,,,,,,,123.94,123.94
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,30,31.54,31.54
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,10,92.4,92.4
,,ORTAGGI - ,,,,,,,,270.3,270.3
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,90.1,270.3,270.3
,,PANE - ,,,,,,,,330.1027,330.1027
,,,FOO.PAN.00001,PANE BIANCO IN CASSETTA GR.400,CF,CF,1.0,1.1831,49,57.82,57.82
,,,FOO.PAN.00002,PANE INTEGRALE IN CASSETTA  GR 400,CF,CF,1.0,1.18,46,54.6435,54.6435
,,,FOO.PAN.00003,PANE CIABATTA,KG,KG,1.0,3.0,65.15,211.6592,211.6592
,,,FOO.PAN.00004,PAN BAULETTO GF MULINO BIANCO,PZ,PZ,1.0,2.99,2,5.98,5.98
,,PASTICCE - ,,,,,,,,142.7004,142.7004
,,,FOO.PPP.00002,FARINA PER DOLCI 1KG,KG,KG,1.0,1.7102,8,13.6269,13.6269
,,,FOO.PPP.00003,STACCANTE ALIMENTARE SPRAY PER FORNO,PZ,PZ,1.0,4.5367,-1,-4.5367,-4.5367
,,,FOO.PPP.00009,ALBUME D'UOVO 1LT,LT,LT,1.0,3.35,1,4.24,4.24
,,,FOO.PPP.00010,"BURRO PER DOLCI 2,5KG",KG,KG,1.0,6.669,4,26.676,26.676
,,,FOO.PPP.00012,LIEVITO PER DOLCI 1KG,KG,KG,1.0,11.2652,0.8,9.0122,9.0122
,,,FOO.PPP.00013,CIOCCOLATO FONDENTE,KG,KG,1.0,11.4188,1.96,26.1415,26.1415
,,,FOO.PPP.00014,CACAO,KG,KG,1.0,12.0,2,31.6134,31.6134
,,,FOO.PPP.00016,MARMELLATA ALBICOCCA,KG,KG,1.0,5.9879,6,35.9271,35.9271
,,SALUMI - ,,,,,,,,1311.3029,1311.3029
,,,FOO.SAL.00001,MORTADELLA IGP,KG,KG,1.0,6.7412,14.476,94.9986,94.9986
,,,FOO.SAL.00003,SALAME MILANO FIORUCCI,KG,KG,1.0,11.6723,8.148,93.1622,93.1622
,,,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1.0,13.9696,30.54,430.7947,430.7947
,,,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1.0,10.8796,38.212,421.6607,421.6607
,,,FOO.SAL.00006,PROSCIUTTO COTTO FERRARINI,KG,KG,1.0,7.7524,33.218,270.6867,270.6867
,,SCATOLAM - ,,,,,,,,430.0699,430.0699
,,,FOO.SCA.00001,FAGIOLI HEINZ 415GRX24PZ,PZ,PZ,1.0,2.9195,159,430.0699,430.0699
,,SEMILDOL - ,,,,,,,,4022.2036,4022.2036
,,,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1.0,15.0618,8,101.7143,101.7143
,,,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1.0,14.9028,9,95.625,95.625
,,,FOO.SDO.00006,TORTA ARTIGIANALE ALLE CAROTE 1 KG,PZ,PZ,1.0,14.8271,7,69.6769,69.6769
,,,FOO.SDO.00007,PLUMCAKE ARTIGIANALE CACAO 800GR,PZ,PZ,1.0,10.9522,7,69.8462,69.8462
,,,FOO.SDO.00008,PASTIERA NAPOLETANA 100GRX24PZ,PZ,PZ,1.0,1.1042,254,280.4583,280.4583
,,,FOO.SDO.00009,SFOGLIATELLE FROLLE 27GRX7KG,KG,KG,1.0,6.7571,23.8,160.8196,160.8196
,,,FOO.SDO.00010,SFOGLIATELLE RICCE 27GRX7KG,KG,KG,1.0,6.7571,24,162.1713,162.1713
,,,FOO.SDO.00011,SACCOTTINO AL CIOCCOLATO 30GRX150PZ,PZ,PZ,1.0,0.3513,656,230.4621,230.4621
