Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,18966.2331,18966.2331
,BEVERAGE - ,,,,,,,,,2083.9135,2083.9135
,,ACQUA - ,,,,,,,,4.482,4.482
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,3,0.4301,0.4301
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,27,4.0519,4.0519
,,CAFFETT - ,,,,,,,,877.3811,877.3811
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,4,4.8512,4.8512
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,1,2.5721,2.5721
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,7,12.6105,12.6105
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,2,5.1082,5.1082
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,11,19.4495,19.4495
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,12,37.0188,37.0188
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,5,16.055,16.055
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,46,194.7158,194.7158
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,39,585.0,585.0
,,LATTE - ,,,,,,,,155.6004,155.6004
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,82,99.5924,99.5924
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,2,3.0146,3.0146
