Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,22540.9943,22540.9943
,BEVERAGE - ,,,,,,,,,2775.0541,2775.0541
,,ACQUA - ,,,,,,,,8.4932,8.4932
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,18,2.6419,2.6419
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,39,5.8513,5.8513
,,CAFFETT - ,,,,,,,,956.355,956.355
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,3,3.6384,3.6384
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,1,2.5721,2.5721
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,4,7.206,7.206
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,2,5.1082,5.1082
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,5,12.0194,12.0194
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,7,21.5943,21.5943
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,51,274.2166,274.2166
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,42,630.0,630.0
,,LATTE - ,,,,,,,,223.7059,223.7059
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,122,148.3191,148.3191
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,4,6.0292,6.0292
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,7,11.4105,11.4105
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,51,52.9315,52.9315
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,4,5.0156,5.0156
,,SOFDRINK - ,,,,,,,,1586.5,1586.5
,,,BEV.SOF.00028,SUCCO CONCENTRATO ARANCIA ROSSA 4GKX4PZ,PZ,PZ,1.0,41.75,15,626.25,626.25
,,,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1.0,41.75,10,417.5,417.5
,,,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1.0,41.75,9,375.75,375.75
,,,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1.0,41.75,4,167.0,167.0
,FOOD - ,,,,,,,,,17554.172,17554.172
,,BURR - ,,,,,,,,147.3671,147.3671
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,15,147.3671,147.3671
,,CARNEROS - ,,,,,,,,488.3046,488.3046
,,,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1.0,7.664,65,488.3046,488.3046
,,CEREALI - ,,,,,,,,202.9148,202.9148
,,,FOO.CER.00001,CEREALI RISO SOFFIATO CACAO ALPEDI' 1KG,KG,KG,1.0,3.8395,7,19.9725,19.9725
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,5,13.9367,13.9367
,,,FOO.CER.00003,CEREALI RISO SOFFIATO ALPEDI' 1KG,KG,KG,1.0,2.411,2,7.341,7.341
,,,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1.0,5.1664,17,84.2834,84.2834
,,,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1.0,3.8617,2,7.7284,7.7284
,,,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1.0,5.4415,15,69.6528,69.6528
,,FARINA - ,,,,,,,,2.4883,2.4883
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,2,2.4883,2.4883
,,FORMAGG - ,,,,,,,,900.8466,900.8466
,,,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000.0,7.3838,43,322.7635,322.7635
,,,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1.0,16.7349,12,200.7936,200.7936
,,,FOO.FOR.00017,SCAMORZA AFFUMICATA,KG,GR,1000.0,9.331,40,377.2895,377.2895
,,FRUTTFRE - ,,,,,,,,2052.8237,2052.8237
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,686,774.5613,774.5613
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,371.1,631.8113,631.8113
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,389.9,646.4511,646.4511
,,FRUTTSEC - ,,,,,,,,76.41,76.41
,,,FOO.FRS.00009,SEMI DI ZUCCA,KG,GR,1000.0,10.6913,1,10.692,10.692
,,,FOO.FRS.00010,SEMI DI LINO,KG,GR,1000.0,8.31,1,8.31,8.31
,,,FOO.FRS.00011,MISTO ESOTICO,KG,GR,1000.0,9.3602,4,37.448,37.448
,,,FOO.FRS.00012,MISTO FRUTTI ROSSI,KG,GR,1000.0,12.493,1,12.493,12.493
,,,FOO.FRS.00013,BANANA CHIPS,KG,GR,1000.0,7.467,1,7.467,7.467
,,LATTICIN - ,,,,,,,,367.5,367.5
,,,FOO.LAT.00008,CILIEGINE 25GR,KG,GR,1000.0,7.5,49,367.5,367.5
,,MONODOLC - ,,,,,,,,337.3886,337.3886
,,,FOO.MDO.00001,BIFETTE MULINO BIANCO GR17X100PZ,PZ,PZ,1.0,0.1379,126,16.5942,16.5942
,,,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1.0,0.1381,79,10.5465,10.5465
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,10,26.2703,26.2703
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,9,23.3157,23.3157
,,,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1.0,0.1801,1440,259.4304,259.4304
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,1,1.2315,1.2315
