Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,21773.7016,21773.7016
,BEVERAGE - ,,,,,,,,,2234.8285,2234.8285
,,ACQUA - ,,,,,,,,4.9305,4.9305
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,12,1.7805,1.7805
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,21,3.15,3.15
,,CAFFETT - ,,,,,,,,1065.8618,1065.8618
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,2,2.5146,2.5146
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,5,12.8605,12.8605
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,7,12.6105,12.6105
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,2,5.1082,5.1082
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,15,36.5934,36.5934
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,10,31.294,31.294
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,5,16.055,16.055
,,,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1.0,24.0,2,48.0,48.0
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,42,225.8256,225.8256
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,45,675.0,675.0
,,LATTE - ,,,,,,,,203.7862,203.7862
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,105,127.6709,127.6709
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,5,7.9513,7.9513
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,11,18.1874,18.1874
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,36,37.4376,37.4376
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,10,12.539,12.539
,,SOFDRINK - ,,,,,,,,960.25,960.25
,,,BEV.SOF.00028,SUCCO CONCENTRATO ARANCIA ROSSA 4GKX4PZ,PZ,PZ,1.0,41.75,4,167.0,167.0
,,,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1.0,41.75,6,250.5,250.5
,,,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1.0,41.75,7,292.25,292.25
,,,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1.0,41.75,6,250.5,250.5
,FOOD - ,,,,,,,,,17760.9056,17760.9056
,,BURR - ,,,,,,,,129.2346,129.2346
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,13,129.2346,129.2346
,,CARNEROS - ,,,,,,,,430.2423,430.2423
,,,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1.0,7.664,56.21,430.2423,430.2423
,,CEREALI - ,,,,,,,,139.0848,139.0848
,,,FOO.CER.00001,CEREALI RISO SOFFIATO CACAO ALPEDI' 1KG,KG,KG,1.0,3.8395,4,14.4477,14.4477
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,3,8.3619,8.3619
,,,FOO.CER.00003,CEREALI RISO SOFFIATO ALPEDI' 1KG,KG,KG,1.0,2.411,1,3.6705,3.6705
,,,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1.0,5.1664,9,44.7858,44.7858
,,,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1.0,3.8617,3,11.5926,11.5926
,,,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1.0,5.4415,12.5,56.2263,56.2263
,,FORMAGG - ,,,,,,,,768.2074,768.2074
,,,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000.0,7.3838,44.77,329.2349,329.2349
,,,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1.0,16.7349,12,200.8166,200.8166
,,,FOO.FOR.00017,SCAMORZA AFFUMICATA,KG,GR,1000.0,9.331,25,238.1559,238.1559
,,FRUTTFRE - ,,,,,,,,1433.4522,1433.4522
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,567.48,553.5614,553.5614
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,259.1,436.3488,436.3488
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,316,443.542,443.542
,,FRUTTSEC - ,,,,,,,,105.9915,105.9915
,,,FOO.FRS.00008,SEMI DI GIRASOLE,KG,GR,1000.0,4.1133,1,4.1133,4.1133
,,,FOO.FRS.00009,SEMI DI ZUCCA,KG,GR,1000.0,10.6913,2,21.384,21.384
,,,FOO.FRS.00011,MISTO ESOTICO,KG,GR,1000.0,9.3602,3,28.0812,28.0812
,,,FOO.FRS.00012,MISTO FRUTTI ROSSI,KG,GR,1000.0,12.493,3,37.479,37.479
,,,FOO.FRS.00013,BANANA CHIPS,KG,GR,1000.0,7.467,2,14.934,14.934
,,LATTICIN - ,,,,,,,,265.05,265.05
,,,FOO.LAT.00008,CILIEGINE 25GR,KG,GR,1000.0,7.5,35.34,265.05,265.05
,,MONODOLC - ,,,,,,,,407.6478,407.6478
,,,FOO.MDO.00001,BIFETTE MULINO BIANCO GR17X100PZ,PZ,PZ,1.0,0.1379,219,29.8606,29.8606
,,,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1.0,0.1381,107,14.5365,14.5365
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,16,43.8703,43.8703
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,6.5,16.8389,16.8389
,,,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1.0,0.1801,1680,302.5415,302.5415
,,ORTAGGI - ,,,,,,,,673.1653,673.1653
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,146.3,379.3473,379.3473
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,120,149.9881,149.9881
,,,FOO.ORT.00016,POMODORI SORRENTO,KG,GR,1000.0,1.6366,62.2,143.8299,143.8299
,,PANE - ,,,,,,,,432.2975,432.2975
,,,FOO.PAN.00001,PANE BIANCO IN CASSETTA GR.400,CF,CF,1.0,1.1831,82,98.131,98.131
,,,FOO.PAN.00002,PANE INTEGRALE IN CASSETTA  GR 400,CF,CF,1.0,1.18,53,62.5465,62.5465
,,,FOO.PAN.00003,PANE CIABATTA,KG,KG,1.0,3.0,63.39,190.17,190.17
,,,FOO.PAN.00017,PANFETTE GLUTEEN FREE GR 75 X 20PZ,PZ,PZ,1.0,1.8,6,9.0,9.0
,,,FOO.PAN.00018,KIT COLAZIONE GLUTEEN FREE,PZ,PZ,1.0,24.15,3,72.45,72.45
,,PASTICCE - ,,,,,,,,56.4484,56.4484
,,,FOO.PPP.00003,STACCANTE ALIMENTARE SPRAY PER FORNO,PZ,PZ,1.0,4.5367,1,4.5367,4.5367
,,,FOO.PPP.00010,"BURRO PER DOLCI 2,5KG",KG,KG,1.0,6.669,0.3,2.0007,2.0007
,,,FOO.PPP.00011,MIELE 10KG,KG,GR,1.0,5.9534,8,47.6272,47.6272
,,,FOO.PPP.00013,CIOCCOLATO FONDENTE,KG,KG,1.0,11.4188,0.2,2.2838,2.2838
,,SALUMI - ,,,,,,,,1817.7113,1817.7113
,,,FOO.SAL.00001,MORTADELLA IGP,KG,KG,1.0,6.7412,18.23,120.9938,120.9938
,,,FOO.SAL.00003,SALAME MILANO FIORUCCI,KG,KG,1.0,11.6723,20.22,228.4815,228.4815
,,,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1.0,13.9696,31.57,460.4521,460.4521
,,,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1.0,10.8796,49.5,566.9406,566.9406
,,,FOO.SAL.00006,PROSCIUTTO COTTO FERRARINI,KG,KG,1.0,7.7524,56.37,440.8433,440.8433
,,SCATOLAM - ,,,,,,,,408.296,408.296
,,,FOO.SCA.00001,FAGIOLI HEINZ 415GRX24PZ,PZ,PZ,1.0,2.9195,140,408.296,408.296
,,SEMILDOL - ,,,,,,,,8879.6592,8879.6592
,,,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1.0,15.0618,37,567.0351,567.0351
,,,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1.0,14.9028,32,473.9734,473.9734
