Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,19710.0224,19710.0224
,BEVERAGE - ,,,,,,,,,2504.386,2504.386
,,ACQUA - ,,,,,,,,5.5436,5.5436
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,4,0.5936,0.5936
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,33,4.95,4.95
,,CAFFETT - ,,,,,,,,1150.1144,1150.1144
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,3,3.8672,3.8672
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,4,9.0424,9.0424
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,5,9.0075,9.0075
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,1,1.4499,1.4499
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,12,28.6525,28.6525
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,15,47.5204,47.5204
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,2,6.422,6.422
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,55,309.1525,309.1525
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,49,735.0,735.0
,,LATTE - ,,,,,,,,179.728,179.728
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,95,115.5174,115.5174
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,4,6.3612,6.3612
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,5,8.3745,8.3745
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,44,45.758,45.758
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,3,3.7169,3.7169
,,SOFDRINK - ,,,,,,,,1169.0,1169.0
,,,BEV.SOF.00028,SUCCO CONCENTRATO ARANCIA ROSSA 4GKX4PZ,PZ,PZ,1.0,41.75,7,292.25,292.25
,,,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1.0,41.75,7,292.25,292.25
,,,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1.0,41.75,7,292.25,292.25
,,,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1.0,41.75,7,292.25,292.25
