Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,13749.4357,13749.4357
,BEVERAGE - ,,,,,,,,,2287.6874,2287.6874
,,ACQUA - ,,,,,,,,12.423,12.423
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,20,2.9922,2.9922
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,35,5.25,5.25
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,14,1.7208,1.7208
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,15,2.46,2.46
,,CAFFETT - ,,,,,,,,1115.903,1115.903
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,3,3.8673,3.8673
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,5,11.303,11.303
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,7,12.6105,12.6105
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,6,8.6994,8.6994
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,9,22.0548,22.0548
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,21,67.427,67.427
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,3,9.633,9.633
,,,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1.0,24.0,3,72.0,72.0
,,,BEV.CAF.00027,CIOCCOLATO SOLUBILE 1KG,PZ,PZ,1.0,16.7,5,83.5,83.5
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,48,269.808,269.808
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,37,555.0,555.0
,,LATTE - ,,,,,,,,157.3614,157.3614
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,72,87.552,87.552
,,,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1.0,1.3208,4,5.283,5.283
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,4,6.6394,6.6394
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,52,54.08,54.08
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,3,3.807,3.807
,,SOFDRINK - ,,,,,,,,1002.0,1002.0
,,,BEV.SOF.00028,SUCCO CONCENTRATO ARANCIA ROSSA 4GKX4PZ,PZ,PZ,1.0,41.75,2,83.5,83.5
,,,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1.0,41.75,5,208.75,208.75
,,,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1.0,41.75,9,375.75,375.75
,,,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1.0,41.75,8,334.0,334.0
,FOOD - ,,,,,,,,,10803.149,10803.149
,,BURR - ,,,,,,,,149.2187,149.2187
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,14,149.2187,149.2187
