Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BRK,,,,,,,,,,1374.9154,1374.9154
,BEVERAGE - ,,,,,,,,,194.1582,194.1582
,,ACQUA - ,,,,,,,,48.8368,48.8368
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,158,23.6368,23.6368
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,168,25.2,25.2
,,BIRRE - ,,,,,,,,24.9407,24.9407
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,17,24.9407,24.9407
,,CAFFETT - ,,,,,,,,109.1811,109.1811
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,2,34.0,34.0
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,21,47.4726,47.4726
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,1,1.905,1.905
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,1,1.9015,1.9015
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,1,2.4505,2.4505
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,1,3.2405,3.2405
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,1,3.211,3.211
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,1,15.0,15.0
,,LATTE - ,,,,,,,,9.1018,9.1018
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,2,2.432,2.432
,,,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1.0,1.6799,2,3.3598,3.3598
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,2,2.08,2.08
,,,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1.0,1.23,1,1.23,1.23
,,SOFDRINK - ,,,,,,,,2.0978,2.0978
,,,BEV.SOF.00025,SUCCO ARANCIA BIONDA BRICK 1LT,LT,CL,100.0,1.0489,2,2.0978,2.0978
,FOOD - ,,,,,,,,,1174.4872,1174.4872
,,BURR - ,,,,,,,,10.6585,10.6585
,,,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100.0,10.6585,1,10.6585,10.6585
,,CARNEROS - ,,,,,,,,76.64,76.64
,,,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1.0,7.664,10,76.64,76.64
,,CEREALI - ,,,,,,,,45.6419,45.6419
,,,FOO.CER.00001,CEREALI RISO SOFFIATO CACAO ALPEDI' 1KG,KG,KG,1.0,3.8395,1,3.8395,3.8395
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,4.5,17.1984,17.1984
,,,FOO.CER.00003,CEREALI RISO SOFFIATO ALPEDI' 1KG,KG,KG,1.0,2.411,1,2.411,2.411
,,,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1.0,5.1664,1,5.1664,5.1664
,,,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1.0,3.8617,3,11.5851,11.5851
,,,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1.0,5.4415,1,5.4415,5.4415
,,FORMAGG - ,,,,,,,,105.5832,105.5832
,,,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000.0,7.3838,7.5,55.3785,55.3785
,,,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1.0,16.7349,3,50.2047,50.2047
,,FRUTTFRE - ,,,,,,,,44.7432,44.7432
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,12.5,29.5332,29.5332
,,,FOO.FRU.00007,MELE,KG,GR,1000.0,2.8494,5.338,15.21,15.21
,,MONODOLC - ,,,,,,,,33.2519,33.2519
