Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BARBEACH,,,,,,,,,,7669.2121,7669.2121
,BEVERAGE - ,,,,,,,,,2927.9981,2927.9981
,,ACQUA - ,,,,,,,,307.992,307.992
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,666,109.224,109.224
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,1212,198.768,198.768
,,APERITIV - ,,,,,,,,85.3135,85.3135
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,5,2.36,2.36
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,5,54.7211,54.7211
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,13,6.3135,6.3135
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1,17.2989,17.2989
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,10,4.62,4.62
,,BIRRE - ,,,,,,,,675.6263,675.6263
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,209,151.2753,151.2753
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,81,71.7439,71.7439
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,13,18.2947,18.2947
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,60,235.5,235.5
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,186,198.8124,198.8124
,,CAFFETT - ,,,,,,,,257.9,257.9
,,,BEV.CAF.00002,CAFFE' GINSENG 500 G,PZ,PZ,1.0,26.8,3,80.4,80.4
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,7,119.0,119.0
,,,BEV.CAF.00012,CREMA CAFFE,PZ,PZ,1.0,19.5,3,58.5,58.5
,,LATTE - ,,,,,,,,68.0143,68.0143
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,56,68.0143,68.0143
,,LIQUORI - ,,,,,,,,61.1688,61.1688
,,,BEV.LIQ.00023,LIQUORE LIMONCELLO VILLA MASSA,LT,CL,100.0,14.9844,2,29.9688,29.9688
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,4,31.2,31.2
,,SOFDRINK - ,,,,,,,,981.2594,981.2594
,,,BEV.SOF.00001,POWERADE ORANGE 50CL X 12,BT,BT,1.0,0.76,21,15.96,15.96
,,,BEV.SOF.00002,POWERADE BLU 50CL X 12,BT,BT,1.0,0.76,24,18.24,18.24
,,,BEV.SOF.00003,SUCCO ARANCIA AMITA 20CL X 24,BT,BT,1.0,0.48,9,4.32,4.32
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,7,4.9248,4.9248
,,,BEV.SOF.00005,SUCCO POMPELMO AMITA 20CL X 24,BT,BT,1.0,0.48,4,1.92,1.92
,,,BEV.SOF.00006,SUCCO ACE AMITA 20CL X 24,BT,BT,1.0,0.4979,11,5.7169,5.7169
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,12,6.18,6.18
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,15,9.9439,9.9439
,,,BEV.SOF.00009,SUCCO MELA VERDE AMITA 20CL X 24,BT,BT,1.0,0.4885,6,2.9959,2.9959
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,11,5.368,5.368
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,243,226.7966,226.7966
,,,BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,BT,BT,1.0,0.894,240,223.9972,223.9972
,,,BEV.SOF.00013,FANTA ORANGE 45CL X 12 PET,BT,BT,1.0,0.9333,97,90.5316,90.5316
,,,BEV.SOF.00015,"CHINOTTO LURISIA 27,5CL X 24 VAP",BT,BT,1.0,0.99,22,21.78,21.78
,,,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",BT,BT,1.0,0.99,91,90.09,90.09
,,,BEV.SOF.00019,SPRITE 45CL X 12PZ PET,BT,BT,1.0,0.7075,49,36.5857,36.5857
,,,BEV.SOF.00020,THE LIMONE FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.566,84,47.04,47.04
,,,BEV.SOF.00021,THE PESCA FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.5822,31,17.36,17.36
,,,BEV.SOF.00022,THE PESCA E ROSA FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.3689,45,30.3918,30.3918
,,,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,BT,BT,1.0,0.6815,24,14.8116,14.8116
,,,BEV.SOF.00035,REDBULL 33CLX24PZ,BT,BT,1.0,1.2426,39,40.5241,40.5241
,,,BEV.SOF.00038,GRANITA A LIMONE,PZ,PZ,1.0,15.0,2,30.0,30.0
,,,BEV.SOF.00039,SUCCO PESCA AMITA 20CLX24PZ,BT,BT,1.0,0.4838,24,12.48,12.48
,,,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,PZ,PZ,1.0,1.0,8,5.2413,5.2413
,,,BEV.SOF.00051,"ACQUA TONICA SIFONE 1,5LT",PZ,PZ,1.0,2.4841,6,18.06,18.06
,,VINBOLL - ,,,,,,,,464.3238,464.3238
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,82,464.3238,464.3238
,,VINOBIAN - ,,,,,,,,23.1,23.1
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,7,23.1,23.1
,,VINOROSS - ,,,,,,,,3.3,3.3
,,,BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,BT,CL,0.75,3.3,1,3.3,3.3
,FOOD - ,,,,,,,,,4375.7433,4375.7433
,,CARNEBIA - ,,,,,,,,129.2385,129.2385
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,16.7,129.2385,129.2385
,,FORMAGG - ,,,,,,,,62.1669,62.1669
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,1.5,24.0,24.0
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,13,38.1669,38.1669
,,FRUTTFRE - ,,,,,,,,113.356,113.356
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,2,3.1401,3.1401
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,5,8.0785,8.0785
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,49.6,77.2435,77.2435
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,4,7.1127,7.1127
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,10,17.7812,17.7812
,,GELATCON - ,,,,,,,,1229.0649,1229.0649
,,,FOO.GCO.00001,GELATO CORNETTO CLASSICO 1CTX24PZ,PZ,PZ,1.0,1.64,74,121.36,121.36
,,,FOO.GCO.00002,GELATO CORNETTO CUORE DI CIALDA 1CTX14PZ,PZ,PZ,1.0,1.7062,22,29.0168,29.0168
,,,FOO.GCO.00003,GELATO CORNETTO CHOC 'N' BALL 1CTX20PZ,PZ,PZ,1.0,1.7607,46,72.9057,72.9057
,,,FOO.GCO.00004,GELATO MAGNUM CLASSICO 1CTX20PZ,PZ,PZ,1.0,1.715,39,66.885,66.885
,,,FOO.GCO.00005,GELATO MAGNUM BIANCO 1CTX20PZ,PZ,PZ,1.0,1.715,41,70.315,70.315
,,,FOO.GCO.00006,GELATO MAGNUM INTENSE COFFEE 1CTX20PZ,PZ,PZ,1.0,1.715,5,8.575,8.575
,,,FOO.GCO.00007,GELATO MAGNUM BOMBONIERA 1CTX20PZ,PZ,PZ,1.0,2.254,12,27.048,27.048
,,,FOO.GCO.00008,GELATO MAGNUM DOUBLE CARAMEL 1CTX20PZ,PZ,PZ,1.0,1.86,56,104.16,104.16
,,,FOO.GCO.00009,GELATO MAGNUM EUPHORIA 1CTX20PZ,PZ,PZ,1.0,1.86,9,16.74,16.74
,,,FOO.GCO.00010,GELATO MAGNUM WONDER 1CTX20PZ,PZ,PZ,1.0,1.86,5,9.3,9.3
,,,FOO.GCO.00011,GELATO MAGNUM CHILL 1CTX20PZ,PZ,PZ,1.0,1.86,10,18.6,18.6
,,,FOO.GCO.00012,GELATO PAN DI STELLE 1CTX25PZ,PZ,PZ,1.0,1.7152,17,29.1584,29.1584
,,,FOO.GCO.00015,GELATO GOCCIOLE 1CTX25PZ,PZ,PZ,1.0,1.7152,55,94.336,94.336
,,,FOO.GCO.00016,GELATO CROCCANTE AMARENA 1CTX32PZ,PZ,PZ,1.0,1.19,14,16.66,16.66
,,,FOO.GCO.00017,GELATO FIOR DI FRAGOLA 1CTX36PZ,PZ,PZ,1.0,1.19,19,22.61,22.61
,,,FOO.GCO.00018,GELATO LIUK 1CTX32PZ,PZ,PZ,1.0,1.19,41,48.79,48.79
,,,FOO.GCO.00019,GELATO CUCCIOLONE MAXI 1CTX30PZ,PZ,PZ,1.0,1.49,30,44.7,44.7
,,,FOO.GCO.00020,GELATO SOLERO 1CTX25PZ,PZ,PZ,1.0,1.49,28,41.72,41.72
,,,FOO.GCO.00021,GELATO COPPA KIMBO 1CTX24PZ,PZ,PZ,1.0,1.64,9,14.76,14.76
,,,FOO.GCO.00022,GELATO CALIPPO A LIMONE 1CTX24PZ,PZ,PZ,1.0,1.49,38,56.62,56.62
,,,FOO.GCO.00023,GELATO CALIPPO COLA 1CTX24PZ,PZ,PZ,1.0,1.49,24,35.76,35.76
,,,FOO.GCO.00024,GELATO TREASURE BOX 1CTX18PZ,PZ,PZ,1.0,1.12,36,40.32,40.32
,,,FOO.GCO.00025,GELATO GHIACCIOLI EQUILIBRIA 1CTX30PZ,PZ,PZ,1.0,0.67,60,40.2,40.2
,,,FOO.GCO.00026,GELATO MAGNUM MANDORLE 1CTX20PZ,PZ,PZ,1.0,1.715,60,102.9,102.9
,,,FOO.GCO.00027,GELATO BIKINI NEW 1CTX20PZ,PZ,PZ,1.0,1.49,20,29.8,29.8
,,,FOO.GCO.00028,GELATO CREMINO 1CTX36PZ,PZ,PZ,1.0,1.19,13,15.47,15.47
,,,FOO.GCO.00030,GELATO COPPA RICA AMARENA 1CTX20PZ,PZ,PZ,1.0,1.64,6,9.84,9.84
,,,FOO.GCO.00031,GELATO SUPER TWISTER 1CTX28PZ,PZ,PZ,1.0,1.12,24,26.88,26.88
,,,FOO.GCO.00032,GELATO CHUCHES NEW 1CTX20PZ,PZ,PZ,1.0,1.49,8,11.92,11.92
,,,FOO.GCO.00033,GELATO CORNETTO TOGO 1CTX14PZ,PZ,PZ,1.0,1.715,1,1.715,1.715
,,LATTICIN - ,,,,,,,,417.75,417.75
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,32,240.0,240.0
,,,FOO.LAT.00007,BOCCONCINI 70GR,KG,GR,1000.0,7.5,23.7,177.75,177.75
,,MONODOLC - ,,,,,,,,5.1811,5.1811
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,2,5.1811,5.1811
,,OLIO - ,,,,,,,,48.3741,48.3741
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,5,48.3741,48.3741
,,ORTAGGI - ,,,,,,,,150.5558,150.5558
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,9.8,25.3309,25.3309
