Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BARBEACH,,,,,,,,,,10113.5803,10113.5803
,BEVERAGE - ,,,,,,,,,3884.7253,3884.7253
,,ACQUA - ,,,,,,,,486.4247,486.4247
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,925,151.6965,151.6965
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,2041,334.7282,334.7282
,,APERITIV - ,,,,,,,,93.4317,93.4317
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,7,3.304,3.304
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,6,65.6652,65.6652
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,13,6.3141,6.3141
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1,16.7624,16.7624
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,3,1.386,1.386
,,BIRRE - ,,,,,,,,903.5514,903.5514
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,238,172.1954,172.1954
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,152,133.9657,133.9657
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,67,94.2891,94.2891
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,100,394.1667,394.1667
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,102,108.9345,108.9345
,,CAFFETT - ,,,,,,,,533.3849,533.3849
,,,BEV.CAF.00002,CAFFE' GINSENG 500 G,PZ,PZ,1.0,26.8,1,26.8,26.8
