Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BARBEACH,,,,,,,,,,10276.1404,10276.1404
,BEVERAGE - ,,,,,,,,,4181.5817,4181.5817
,,ACQUA - ,,,,,,,,615.6635,615.6635
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,1317,215.9894,215.9894
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,2437,399.6741,399.6741
,,APERITIV - ,,,,,,,,162.4416,162.4416
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,5,2.36,2.36
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,11.5,125.8577,125.8577
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,35,16.9995,16.9995
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1,16.7624,16.7624
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,1,0.462,0.462
,,BIRRE - ,,,,,,,,849.8962,849.8962
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,162,117.197,117.197
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,103,90.7842,90.7842
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,71,99.9183,99.9183
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,100,394.6127,394.6127
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,138,147.384,147.384
,,CAFFETT - ,,,,,,,,510.8187,510.8187
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,17,289.0,289.0
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,3,7.3187,7.3187
,,,BEV.CAF.00012,CREMA CAFFE,PZ,PZ,1.0,19.5,11,214.5,214.5
,,GIN - ,,,,,,,,12.6207,12.6207
,,,BEV.GIN.00004,GIN BROCKMAN'S,LT,CL,100.0,10.0,1,10.0,10.0
,,,BEV.GIN.00006,GIN BROKER'S,LT,CL,100.0,8.073,0.4,2.6207,2.6207
,,LATTE - ,,,,,,,,96.0572,96.0572
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,79,96.0572,96.0572
,,LIQUORI - ,,,,,,,,58.4797,58.4797
,,,BEV.LIQ.00023,LIQUORE LIMONCELLO VILLA MASSA,LT,CL,100.0,14.9844,1.3,19.4797,19.4797
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,5,39.0,39.0
,,SOFDRINK - ,,,,,,,,1447.1229,1447.1229
,,,BEV.SOF.00001,POWERADE ORANGE 50CL X 12,BT,BT,1.0,0.76,33,25.08,25.08
,,,BEV.SOF.00002,POWERADE BLU 50CL X 12,BT,BT,1.0,0.76,61,46.36,46.36
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,13,9.0605,9.0605
,,,BEV.SOF.00005,SUCCO POMPELMO AMITA 20CL X 24,BT,BT,1.0,0.48,12,5.76,5.76
,,,BEV.SOF.00006,SUCCO ACE AMITA 20CL X 24,BT,BT,1.0,0.4979,42,20.9135,20.9135
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,19,9.785,9.785
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,23,14.689,14.689
,,,BEV.SOF.00009,SUCCO MELA VERDE AMITA 20CL X 24,BT,BT,1.0,0.4885,14,6.8394,6.8394
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,13,6.344,6.344
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,290,270.6589,270.6589
,,,BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,BT,BT,1.0,0.894,332,285.346,285.346
,,,BEV.SOF.00013,FANTA ORANGE 45CL X 12 PET,BT,BT,1.0,0.9333,66,61.5981,61.5981
,,,BEV.SOF.00015,"CHINOTTO LURISIA 27,5CL X 24 VAP",BT,BT,1.0,0.99,41,40.59,40.59
,,,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",BT,BT,1.0,0.99,71,70.29,70.29
,,,BEV.SOF.00019,SPRITE 45CL X 12PZ PET,BT,BT,1.0,0.7075,51,45.0325,45.0325
,,,BEV.SOF.00020,THE LIMONE FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.566,81,47.6745,47.6745
,,,BEV.SOF.00021,THE PESCA FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.5822,132,77.9959,77.9959
,,,BEV.SOF.00022,THE PESCA E ROSA FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.3689,22,14.8588,14.8588
,,,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,BT,BT,1.0,0.6815,35,22.1988,22.1988
,,,BEV.SOF.00035,REDBULL 33CLX24PZ,BT,BT,1.0,1.2426,52,54.262,54.262
,,,BEV.SOF.00038,GRANITA A LIMONE,PZ,PZ,1.0,15.0,15,225.0,225.0
,,,BEV.SOF.00039,SUCCO PESCA AMITA 20CLX24PZ,BT,BT,1.0,0.4838,23,11.27,11.27
,,,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,PZ,PZ,1.0,1.0,31,19.799,19.799
,,,BEV.SOF.00051,"ACQUA TONICA SIFONE 1,5LT",PZ,PZ,1.0,2.4841,3,7.4524,7.4524
,,,BEV.SOF.00053,SCHWEPPES AL LIMONE 18CLX24PZ,PZ,PZ,1.0,0.6033,73,44.0415,44.0415
,,,BEV.SOF.00056,SCHWEPPES ARANCIA 18CLX24PZ,PZ,PZ,1.0,0.6033,7,4.2231,4.2231
,,VINBOLL - ,,,,,,,,385.6012,385.6012
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,67,385.6012,385.6012
,,VINOBIAN - ,,,,,,,,26.4,26.4
