Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BARBEACH,,,,,,,,,,5050.761,5050.761
,BEVERAGE - ,,,,,,,,,2615.7708,2615.7708
,,ACQUA - ,,,,,,,,176.7929,176.7929
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,357,58.5489,58.5489
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,721,118.244,118.244
,,APERITIV - ,,,,,,,,154.6486,154.6486
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,2,0.6743,0.6743
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,11.5,125.8583,125.8583
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,5,2.3405,2.3405
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1.5,25.1436,25.1436
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,2,0.6319,0.6319
,,BIRRE - ,,,,,,,,785.425,785.425
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,161,116.4625,116.4625
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,107,94.1331,94.1331
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,34,49.8823,49.8823
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,100,394.9025,394.9025
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,118,130.0446,130.0446
,,CAFFETT - ,,,,,,,,269.8877,269.8877
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,10,170.0,170.0
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,1,2.3877,2.3877
,,,BEV.CAF.00012,CREMA CAFFE,PZ,PZ,1.0,19.5,5,97.5,97.5
,,GIN - ,,,,,,,,8.8803,8.8803
,,,BEV.GIN.00006,GIN BROKER'S,LT,CL,100.0,8.073,1.1,8.8803,8.8803
,,LATTE - ,,,,,,,,81.4701,81.4701
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,67,81.4701,81.4701
