Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
BARBEACH,,,,,,,,,,765.8165,765.8165
,BEVERAGE - ,,,,,,,,,415.8475,415.8475
,,ACQUA - ,,,,,,,,15.8621,15.8621
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,57,7.0061,7.0061
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,54,8.856,8.856
,,APERITIV - ,,,,,,,,59.5769,59.5769
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,1,0.3371,0.3371
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,3,32.8326,32.8326
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1.5,25.1436,25.1436
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,4,1.2636,1.2636
,,BIRRE - ,,,,,,,,78.5406,78.5406
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,36,27.126,27.126
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,18,15.7895,15.7895
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,4,5.8684,5.8684
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,27,29.7567,29.7567
,,CAFFETT - ,,,,,,,,36.4505,36.4505
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,2,34.0,34.0
,,,BEV.CAF.00009,DIETOR,CF,CF,1.0,2.4505,1,2.4505,2.4505
,,LATTE - ,,,,,,,,15.808,15.808
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,13,15.808,15.808
,,LIQUORI - ,,,,,,,,18.8044,18.8044
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,2.5,18.8044,18.8044
,,SOFDRINK - ,,,,,,,,83.6722,83.6722
,,,BEV.SOF.00002,POWERADE BLU 50CL X 12,BT,BT,1.0,0.76,2,1.52,1.52
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,1,0.697,0.697
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,4,1.9516,1.9516
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,3,1.9161,1.9161
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,1,0.488,0.488
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,24,3.3361,3.3361
,,,BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,BT,BT,1.0,0.894,31,27.714,27.714
,,,BEV.SOF.00013,FANTA ORANGE 45CL X 12 PET,BT,BT,1.0,0.9333,12,11.1996,11.1996
,,,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",BT,BT,1.0,0.99,11,10.89,10.89
