Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,385.7778,385.7778
,BEVERAGE - ,,,,,,,,,281.7717,281.7717
,,ACQUA - ,,,,,,,,7.2238,7.2238
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,48,7.2238,7.2238
,,BIRRE - ,,,,,,,,9.6708,9.6708
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,11,9.6708,9.6708
,,GIN - ,,,,,,,,53.3312,53.3312
,,,BEV.GIN.00003,GIN HENDRIK'S,LT,CL,100.0,35.9489,0.5,17.9745,17.9745
,,,BEV.GIN.00005,GIN MARE,LT,CL,100.0,37.3224,0.3,11.1967,11.1967
,,,BEV.GIN.00007,GIN MALFY,LT,CL,100.0,34.5143,0.7,24.16,24.16
,,LIQUORI - ,,,,,,,,26.5714,26.5714
,,,BEV.LIQ.00023,LIQUORE LIMONCELLO VILLA MASSA,LT,CL,100.0,14.9844,2,26.5714,26.5714
,,RUM - ,,,,,,,,18.525,18.525
,,,BEV.RUM.00006,RUM DIPLOMATICO,LT,CL,100.0,37.05,0.5,18.525,18.525
,,SOFDRINK - ,,,,,,,,123.9577,123.9577
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,8,6.84,6.84
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,3,1.8,1.8
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,12,9.48,9.48
,,,BEV.SOF.00009,SUCCO MELA VERDE AMITA 20CL X 24,BT,BT,1.0,0.4885,14,8.4,8.4
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,18,10.8,10.8
,,,BEV.SOF.00014,COCA COLA 33CL X 24 VAP,BT,BT,1.0,0.7661,4,2.8816,2.8816
,,,BEV.SOF.00016,SCHWEPES GINGER ALE 18CL X 24,BT,BT,1.0,0.6177,4,2.5333,2.5333
,,,BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,BT,BT,1.0,0.4436,7,2.7287,2.7287
,,,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,BT,BT,1.0,0.6815,24,7.5927,7.5927
,,,BEV.SOF.00032,THE ESTATHE PESCA 250MLX24PZ,PZ,PZ,1.0,0.6517,12,8.7097,8.7097
,,,BEV.SOF.00041,THE ESTATHE' LIMONE 250MLX24PZ,PZ,PZ,1.0,0.9274,24,21.6667,21.6667
,,,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,PZ,PZ,1.0,1.0,6,4.75,4.75
,,,BEV.SOF.00043,SPRITE 33CLX24 VAP,PZ,PZ,1.0,0.7633,1,0.725,0.725
,,,BEV.SOF.00044,FANTA ORANGE 33CLX24 VAP,PZ,PZ,1.0,0.7503,24,17.4,17.4
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,24,17.65,17.65
,,VINBOLL - ,,,,,,,,42.4918,42.4918
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,9,42.4918,42.4918
,FOOD - ,,,,,,,,,104.0061,104.0061
,,FRUTTFRE - ,,,,,,,,2.2563,2.2563
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,1.5,2.2563,2.2563
,,SNACKSAL - ,,,,,,,,101.7498,101.7498
,,,FOO.SNS.00001,PATATINE PER APERITIVO,PZ,PZ,1.0,4.4127,24,34.56,34.56
,,,FOO.SNS.00002,TARALLI,KG,GR,1000.0,4.0042,12,16.4182,16.4182
,,,FOO.SNS.00003,OLIVE VERDI,KG,KG,1.0,6.995,7,50.7716,50.7716
,,,,,,,,,TOTALE,385.7778,385.7778
