Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,813.7418,813.7418
,BEVERAGE - ,,,,,,,,,627.1438,627.1438
,,ACQUA - ,,,,,,,,32.4,32.4
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,48,14.4,14.4
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,60,18.0,18.0
,,APERITIV - ,,,,,,,,29.0149,29.0149
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,10,4.72,4.72
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,2.2,24.0772,24.0772
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,5,2.3834,2.3834
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,-0.2,-3.024,-3.024
,,,BEV.APE.00012,MARTINI DRY,LT,CL,100.0,8.5833,0.1,0.8583,0.8583
,,BIRRE - ,,,,,,,,78.8901,78.8901
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,10,7.2803,7.2803
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,-18,-16.8352,-16.8352
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,-1,-1.5022,-1.5022
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,20,77.0,77.0
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,12,12.9472,12.9472
,,DISTILL - ,,,,,,,,1.648,1.648
,,,BEV.DIS.00004,DISTILLATO TEQUILA JOSE' CUERVO,LT,CL,100.0,16.608,0.1,1.648,1.648
,,GIN - ,,,,,,,,14.929,14.929
,,,BEV.GIN.00005,GIN MARE,LT,CL,100.0,37.3224,0.4,14.929,14.929
,,GUARTOP - ,,,,,,,,10.3771,10.3771
,,,BEV.GUA.00003,SCIROPPO COCCO,LT,CL,100.0,9.823,-0.1,-1.2229,-1.2229
,,,BEV.GUA.00004,CILIEGIE SCIROPPATE X COCKTAIL 6PZX470GR,PZ,PZ,1.0,9.0,1,9.0,9.0
,,,BEV.GUA.00006,SCIROPPO ZUCCHERO DI CANNA,LT,CL,100.0,9.1291,0.4,2.6,2.6
,,LIQUORI - ,,,,,,,,41.8564,41.8564
,,,BEV.LIQ.00002,LIQUORE CREMA DI LIMONCELLO,LT,CL,100.0,20.0,1.1,22.0,22.0
,,,BEV.LIQ.00022,LIQUORE KALHUA,LT,CL,100.0,16.445,0.3,4.872,4.872
