Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,3923.2667,3923.2667
,BEVERAGE - ,,,,,,,,,2988.5444,2988.5444
,,ACQUA - ,,,,,,,,142.7014,142.7014
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,121,46.6714,46.6714
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,231,96.03,96.03
,,AMARI - ,,,,,,,,34.416,34.416
,,,BEV.AMA.00005,AMARO RAMAZZOTTI 1LT,LT,CL,100.0,13.2,1.5,19.8,19.8
,,,BEV.AMA.00006,AMARO AVERNA 1 LT,LT,CL,100.0,16.24,0.9,14.616,14.616
,,APERITIV - ,,,,,,,,112.8355,112.8355
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,3,1.416,1.416
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,5.8,63.4765,63.4765
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,4,1.9426,1.9426
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1.2,20.7587,20.7587
,,,BEV.APE.00008,MARTINI ROSSO,LT,CL,100.0,6.5707,1,6.5707,6.5707
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,8,3.696,3.696
,,,BEV.APE.00011,MARTINI BIANCO,LT,CL,100.0,7.25,1,7.25,7.25
,,,BEV.APE.00012,MARTINI DRY,LT,CL,100.0,8.5833,0.9,7.725,7.725
,,BIRRE - ,,,,,,,,1004.8198,1004.8198
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,69,49.9426,49.9426
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,59,52.2579,52.2579
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,24,33.7749,33.7749
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,220,863.5,863.5
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,5,5.3444,5.3444
,,CAFFETT - ,,,,,,,,34.0,34.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,2,34.0,34.0
,,DISTILL - ,,,,,,,,33.784,33.784
,,,BEV.DIS.00004,DISTILLATO TEQUILA JOSE' CUERVO,LT,CL,100.0,16.608,2.05,33.784,33.784
,,GIN - ,,,,,,,,7.1898,7.1898
,,,BEV.GIN.00003,GIN HENDRIK'S,LT,CL,100.0,35.9489,0.2,7.1898,7.1898
,,GUARTOP - ,,,,,,,,11.9643,11.9643
