Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,4940.4674,4940.4674
,BEVERAGE - ,,,,,,,,,3433.1014,3433.1014
,,ACQUA - ,,,,,,,,273.4565,273.4565
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,190,88.1658,88.1658
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,390,185.2907,185.2907
,,AMARI - ,,,,,,,,73.704,73.704
,,,BEV.AMA.00004,AMARO DEL CAPO 1LT,LT,CL,100.0,15.64,1.8,28.152,28.152
,,,BEV.AMA.00006,AMARO AVERNA 1 LT,LT,CL,100.0,16.24,2.3,37.352,37.352
,,,BEV.AMA.00007,AMARO DISARONNO 1 LT.,LT,CL,100.0,16.45,0.5,8.2,8.2
,,APERITIV - ,,,,,,,,165.4412,165.4412
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,5,2.36,2.36
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,10,109.4415,109.4415
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,5,2.4285,2.4285
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,3,50.2872,50.2872
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,2,0.924,0.924
,,BIRRE - ,,,,,,,,530.3159,530.3159
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,54,39.0657,39.0657
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,6,5.2884,5.2884
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,2,2.8146,2.8146
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,120,473.5352,473.5352
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,9,9.612,9.612
,,CAFFETT - ,,,,,,,,75.5,75.5
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,1,17.0,17.0
,,,BEV.CAF.00012,CREMA CAFFE,PZ,PZ,1.0,19.5,3,58.5,58.5
,,DISTILL - ,,,,,,,,3.296,3.296
,,,BEV.DIS.00004,DISTILLATO TEQUILA JOSE' CUERVO,LT,CL,100.0,16.608,0.2,3.296,3.296
,,GIN - ,,,,,,,,52.4467,52.4467
,,,BEV.GIN.00002,GIN BOMBAY,LT,CL,100.0,18.96,1.7,32.232,32.232
,,,BEV.GIN.00003,GIN HENDRIK'S,LT,CL,100.0,35.9489,0.3,10.7847,10.7847
,,,BEV.GIN.00005,GIN MARE,LT,CL,100.0,37.3224,0.2,7.4645,7.4645
,,,BEV.GIN.00006,GIN BROKER'S,LT,CL,100.0,8.073,0.3,1.9655,1.9655
,,GUARTOP - ,,,,,,,,41.5457,41.5457
,,,BEV.GUA.00001,MONIN GRENADINE,LT,CL,100.0,10.8571,0.35,3.8,3.8
,,,BEV.GUA.00002,MONIN FRAGOLA,LT,CL,100.0,12.2857,0.35,4.3,4.3
,,,BEV.GUA.00003,SCIROPPO COCCO,LT,CL,100.0,9.823,1.05,12.84,12.84
,,,BEV.GUA.00006,SCIROPPO ZUCCHERO DI CANNA,LT,CL,100.0,9.1291,0.5,3.8537,3.8537
,,,BEV.GUA.00007,SCIROPPO FIORI DI SAMBUCO 70CL,LT,CL,100.0,14.5805,1.05,16.752,16.752
,,LIQUORI - ,,,,,,,,70.9128,70.9128
,,,BEV.LIQ.00022,LIQUORE KALHUA,LT,CL,100.0,16.445,0.6,9.744,9.744
,,,BEV.LIQ.00023,LIQUORE LIMONCELLO VILLA MASSA,LT,CL,100.0,14.9844,2,29.9688,29.9688
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,4,31.2,31.2
,,RUM - ,,,,,,,,98.0783,98.0783
,,,BEV.RUM.00002,RUM BACARDI CARTA BLANCA,LT,CL,100.0,14.258,3,41.5866,41.5866
,,,BEV.RUM.00004,RUM PAMPERO,LT,CL,100.0,11.0044,2,23.1467,23.1467
,,,BEV.RUM.00006,RUM DIPLOMATICO,LT,CL,100.0,37.05,0.9,33.345,33.345
,,SOFDRINK - ,,,,,,,,592.6611,592.6611
,,,BEV.SOF.00003,SUCCO ARANCIA AMITA 20CL X 24,BT,BT,1.0,0.48,5,2.4,2.4
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,37,25.7877,25.7877
,,,BEV.SOF.00005,SUCCO POMPELMO AMITA 20CL X 24,BT,BT,1.0,0.48,17,8.16,8.16
,,,BEV.SOF.00006,SUCCO ACE AMITA 20CL X 24,BT,BT,1.0,0.4979,4,1.9918,1.9918
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,20,12.773,12.773
,,,BEV.SOF.00009,SUCCO MELA VERDE AMITA 20CL X 24,BT,BT,1.0,0.4885,19,9.282,9.282
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,6,2.928,2.928
,,,BEV.SOF.00014,COCA COLA 33CL X 24 VAP,BT,BT,1.0,0.7661,129,98.1643,98.1643
,,,BEV.SOF.00016,SCHWEPES GINGER ALE 18CL X 24,BT,BT,1.0,0.6177,3,2.0292,2.0292
,,,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",BT,BT,1.0,0.99,11,10.89,10.89
,,,BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,BT,BT,1.0,0.4436,56,24.693,24.693
,,,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,BT,BT,1.0,0.6815,57,36.1524,36.1524
,,,BEV.SOF.00032,THE ESTATHE PESCA 250MLX24PZ,PZ,PZ,1.0,0.6517,1,0.7695,0.7695
,,,BEV.SOF.00035,REDBULL 33CLX24PZ,BT,BT,1.0,1.2426,4,4.174,4.174
,,,BEV.SOF.00038,GRANITA A LIMONE,PZ,PZ,1.0,15.0,3,45.0,45.0
,,,BEV.SOF.00039,SUCCO PESCA AMITA 20CLX24PZ,BT,BT,1.0,0.4838,26,12.74,12.74
,,,BEV.SOF.00040,GINGER BEER KILNEY 20CLX24 VAP,PZ,PZ,1.0,0.6333,14,8.8662,8.8662
,,,BEV.SOF.00041,THE ESTATHE' LIMONE 250MLX24PZ,PZ,PZ,1.0,0.9274,7,6.1481,6.1481
,,,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,PZ,PZ,1.0,1.0,103,65.7839,65.7839
,,,BEV.SOF.00043,SPRITE 33CLX24 VAP,PZ,PZ,1.0,0.7633,32,24.32,24.32
,,,BEV.SOF.00044,FANTA ORANGE 33CLX24 VAP,PZ,PZ,1.0,0.7503,23,17.2569,17.2569
