Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,4659.8262,4659.8262
,BEVERAGE - ,,,,,,,,,3676.7381,3676.7381
,,ACQUA - ,,,,,,,,169.141,169.141
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,139,64.9798,64.9798
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,218,104.1612,104.1612
,,AMARI - ,,,,,,,,16.4,16.4
,,,BEV.AMA.00007,AMARO DISARONNO 1 LT.,LT,CL,100.0,16.45,1,16.4,16.4
,,APERITIV - ,,,,,,,,189.8061,189.8061
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,7,2.36,2.36
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,13,142.2746,142.2746
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,5,2.3405,2.3405
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,1.3,21.7911,21.7911
,,,BEV.APE.00008,MARTINI ROSSO,LT,CL,100.0,6.5707,2,13.1414,13.1414
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,25,7.8985,7.8985
,,BIRRE - ,,,,,,,,731.484,731.484
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,93,67.2734,67.2734
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,18,15.8355,15.8355
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,160,631.844,631.844
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,15,16.5311,16.5311
,,CAFFETT - ,,,,,,,,87.5,87.5
