Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,2911.9423,2911.9423
,BEVERAGE - ,,,,,,,,,2084.2556,2084.2556
,,ACQUA - ,,,,,,,,73.1231,73.1231
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,48,22.44,22.44
,,,BEV.ACQ.00006,ACQUA NATIA 75CL X12 VAR,BT,BT,1.0,0.4781,106,50.6831,50.6831
,,AMARI - ,,,,,,,,16.45,16.45
,,,BEV.AMA.00007,AMARO DISARONNO 1 LT.,LT,CL,100.0,16.45,1,16.45,16.45
,,APERITIV - ,,,,,,,,81.5789,81.5789
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,13,4.3823,4.3823
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,6,65.6652,65.6652
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,6,2.8086,2.8086
,,,BEV.APE.00006,CAMPARI,LT,CL,100.0,16.7624,0.2,3.3525,3.3525
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,17,5.3703,5.3703
,,BIRRE - ,,,,,,,,484.1319,484.1319
,,,BEV.BIR.00001,BIRRA NASTRO AZZURRO 33CL X 24 VAP,BT,BT,1.0,0.7535,49,36.9214,36.9214
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,19,16.6667,16.6667
,,,BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,PZ,PZ,1.0,1.4671,13,19.0723,19.0723
,,,BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,LT,CL,100.0,3.9494,100,394.94,394.94
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,15,16.5315,16.5315
,,CAFFETT - ,,,,,,,,85.0,85.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,5,85.0,85.0
,,DISTILL - ,,,,,,,,18.8216,18.8216
,,,BEV.DIS.00004,DISTILLATO TEQUILA JOSE' CUERVO,LT,CL,100.0,16.608,0.2,3.3216,3.3216
,,,BEV.DIS.00005,GRAPPA BIANCA BARBERA 70CL,LT,CL,100.0,22.1429,0.7,15.5,15.5
,,GIN - ,,,,,,,,38.1132,38.1132
,,,BEV.GIN.00002,GIN BOMBAY,LT,CL,100.0,18.96,1.1,20.856,20.856
,,,BEV.GIN.00007,GIN MALFY,LT,CL,100.0,34.5143,0.5,17.2572,17.2572
,,GUARTOP - ,,,,,,,,16.5787,16.5787
,,,BEV.GUA.00002,MONIN FRAGOLA,LT,CL,100.0,12.2857,0.4,4.9143,4.9143
,,,BEV.GUA.00007,SCIROPPO FIORI DI SAMBUCO 70CL,LT,CL,100.0,14.5805,0.8,11.6644,11.6644
,,LIQUORI - ,,,,,,,,47.0082,47.0082
,,,BEV.LIQ.00011,BAYLE'S,LT,CL,100.0,15.8,1,15.8,15.8
,,,BEV.LIQ.00022,LIQUORE KALHUA,LT,CL,100.0,16.445,0.8,13.156,13.156
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,2.4,18.0522,18.0522
,,RUM - ,,,,,,,,23.0615,23.0615
,,,BEV.RUM.00002,RUM BACARDI CARTA BLANCA,LT,CL,100.0,14.258,1,14.258,14.258
,,,BEV.RUM.00004,RUM PAMPERO,LT,CL,100.0,11.0044,0.8,8.8035,8.8035
,,SOFDRINK - ,,,,,,,,221.9684,221.9684
,,,BEV.SOF.00001,POWERADE ORANGE 50CL X 12,BT,BT,1.0,0.76,8,6.08,6.08
,,,BEV.SOF.00002,POWERADE BLU 50CL X 12,BT,BT,1.0,0.76,5,3.8,3.8
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,5,3.485,3.485
,,,BEV.SOF.00006,SUCCO ACE AMITA 20CL X 24,BT,BT,1.0,0.4979,3,1.4937,1.4937
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,11,5.3669,5.3669
,,,BEV.SOF.00010,SUCCO ALBICOCCA AMITA 20CL X 24,BT,BT,1.0,0.488,7,3.416,3.416
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,70,9.7301,9.7301
,,,BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,BT,BT,1.0,0.894,12,10.728,10.728
,,,BEV.SOF.00014,COCA COLA 33CL X 24 VAP,BT,BT,1.0,0.7661,68,52.096,52.096
,,,BEV.SOF.00015,"CHINOTTO LURISIA 27,5CL X 24 VAP",BT,BT,1.0,0.99,2,1.98,1.98
,,,BEV.SOF.00017,"LIMONATA LURISIA 27,5CL X 24",BT,BT,1.0,0.99,1,0.99,0.99
,,,BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,BT,BT,1.0,0.4436,5,2.218,2.218
,,,BEV.SOF.00023,CEDRATA TASSONI 18CL X 25,BT,BT,1.0,0.6815,2,1.363,1.363
,,,BEV.SOF.00027,SUCCO POMPELMO BRICK 1LT,LT,CL,100.0,1.6,6,9.6,9.6
,,,BEV.SOF.00035,REDBULL 33CLX24PZ,BT,BT,1.0,1.2426,3,3.7278,3.7278
,,,BEV.SOF.00039,SUCCO PESCA AMITA 20CLX24PZ,BT,BT,1.0,0.4838,13,6.2894,6.2894
,,,BEV.SOF.00041,THE ESTATHE' LIMONE 250MLX24PZ,PZ,PZ,1.0,0.9274,2,1.8548,1.8548
,,,BEV.SOF.00042,SCHWEPPES TONICA 18CLX24,PZ,PZ,1.0,1.0,60,42.2666,42.2666
,,,BEV.SOF.00043,SPRITE 33CLX24 VAP,PZ,PZ,1.0,0.7633,24,18.3184,18.3184
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,32,24.7442,24.7442
,,,BEV.SOF.00051,"ACQUA TONICA SIFONE 1,5LT",PZ,PZ,1.0,2.4841,5,12.4205,12.4205
,,VINBOLL - ,,,,,,,,339.1204,339.1204
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,47,270.6704,270.6704
,,,BEV.BOL.00008,PROSECCO ROSE DOC 75 CL,BT,BT,1.0,9.45,1,9.45,9.45
,,,BEV.BOL.00009,PROSECCO CUVEE PRESTIGE FRANCIACORTA75CL,BT,BT,1.0,29.5,2,59.0,59.0
,,VINOBIAN - ,,,,,,,,317.7,317.7
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,40,132.0,132.0
,,,BEV.VIN.00011,IL COLLE TRAMONTI 75 CL,BT,BT,1.0,11.0,4,44.0,44.0
,,,BEV.VIN.00012,BIANCOLELLA ISCHIA 75 CL,BT,BT,1.0,12.3,2,24.6,24.6
,,,BEV.VIN.00013,FALANGHINA DEI CAMPI FLEGREI 75 CL,BT,BT,1.0,5.5,3,16.5,16.5
,,,BEV.VIN.00014,GROTTE GRECO DI TUFO 75 CL,BT,BT,1.0,8.5,2,17.0,17.0
,,,BEV.VIN.00015,PENDINO FIANO DI AVELLINO 75 CL,BT,BT,1.0,8.5,3,25.5,25.5
,,,BEV.VIN.00017,CHARDONNAY FRIULI 75 CL,BT,BT,1.0,7.3,2,14.6,14.6
,,,BEV.VIN.00018,VETTE SAUVIGNON BLANC 75 CL,BT,BT,1.0,8.5,3,25.5,25.5
,,,BEV.VIN.00019,PUNTA CROCE DOC 75 CL,BT,BT,1.0,18.0,1,18.0,18.0
,,VINOROSE - ,,,,,,,,48.4,48.4
,,,BEV.VIN.00003,VINO ROSATO SAMMARCO 75 CL,BT,CL,0.75,4.5,9,40.5,40.5
,,,BEV.VIN.00029,ROSIE AGLIANICO IRPINIA 75 CL,BT,BT,1.0,7.9,1,7.9,7.9
,,VINOROSS - ,,,,,,,,176.0,176.0
,,,BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,BT,CL,0.75,3.3,33,108.9,108.9
,,,BEV.VIN.00020,VADANTICO AGLIANICO 75 CL,BT,BT,1.0,7.9,1,7.9,7.9
,,,BEV.VIN.00023,PINOT NERO ISONZO 75 CL,BT,BT,1.0,17.5,2,35.0,35.0
,,,BEV.VIN.00025,NIPOZZANO VECCHIE VITI 75 CL,BT,BT,1.0,16.9,1,16.9,16.9
,,,BEV.VIN.00026,MONTEPULCIANO D'ABRUZZO 75 CL,BT,BT,1.0,7.3,1,7.3,7.3
