Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CANTINA,,,,,,,,,,103.0758,103.0758
,BEVERAGE - ,,,,,,,,,71.9754,71.9754
,,ACQUA - ,,,,,,,,5.61,5.61
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,12,5.61,5.61
,,BIRRE - ,,,,,,,,27.6654,27.6654
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,24,21.0528,21.0528
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,6,6.6126,6.6126
,,VINOBIAN - ,,,,,,,,38.7,38.7
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,4,13.2,13.2
,,,BEV.VIN.00014,GROTTE GRECO DI TUFO 75 CL,BT,BT,1.0,8.5,3,25.5,25.5
,FOOD - ,,,,,,,,,31.1004,31.1004
,,FRUTTFRE - ,,,,,,,,31.1004,31.1004
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,6,31.1004,31.1004
,,,,,,,,,TOTALE,103.0758,103.0758
