Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,1734.5781,1734.5781
,FOOD - ,,,,,,,,,1624.6962,1624.6962
,,CARNEROS - ,,,,,,,,94.16,94.16
,,,FOO.CRO.00004,REALE BOVINO ADULTO SV,KG,GR,1000.0,9.5,3.16,34.76,34.76
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,3.6,59.4,59.4
,,CEREALI - ,,,,,,,,5.6351,5.6351
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,0.34,4.1351,4.1351
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,0.06,1.5,1.5
,,FARINA - ,,,,,,,,8.0383,8.0383
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,6,8.0383,8.0383
,,FORMAGG - ,,,,,,,,97.9816,97.9816
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,9.29,72.2145,72.2145
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,1.65,25.7671,25.7671
,,FRUTTFRE - ,,,,,,,,32.9083,32.9083
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,0.46,0.736,0.736
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,8.56,15.1029,15.1029
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,0.74,3.5694,3.5694
,,,FOO.FRU.00011,FRAGOLE,KG,GR,1000.0,4.5,3,13.5,13.5
,,FRUTTSEC - ,,,,,,,,6.5,6.5
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.1,6.5,6.5
,,OLIO - ,,,,,,,,74.5567,74.5567
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,5,5.2567,5.2567
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,7.5,69.3,69.3
,,ORTAGGI - ,,,,,,,,269.4025,269.4025
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,9.84,29.52,29.52
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,14.16,20.9839,20.9839
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,3,4.431,4.431
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,5.25,6.6436,6.6436
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,3,15.12,15.12
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,11.5,18.0828,18.0828
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,2,10.0,10.0
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,13.2,34.9953,34.9953
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,12,14.8,14.8
,,,FOO.ORT.00011,ASPARAGI,KG,GR,1000.0,6.0,6.97,41.82,41.82
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,1,5.0,5.0
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,6.03,10.3371,10.3371
,,,FOO.ORT.00014,POMODORINI DATTERINI GIALLI,KG,GR,1000.0,3.6257,4.5,18.0,18.0
,,,FOO.ORT.00015,LATTUGA,PZ,PZ,1.0,1.0714,5,5.0,5.0
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,11,14.5468,14.5468
