Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,5087.6426,5087.6426
,BEVERAGE - ,,,,,,,,,4.05,4.05
,,VINOBIAN - ,,,,,,,,4.05,4.05
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,3,4.05,4.05
,FOOD - ,,,,,,,,,4650.7212,4650.7212
,,BURR - ,,,,,,,,29.017,29.017
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,3.2,29.017,29.017
,,CARNEBIA - ,,,,,,,,257.5018,257.5018
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,33.274,257.5018,257.5018
,,CARNEROS - ,,,,,,,,171.0341,171.0341
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,8.05,133.2585,133.2585
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,1.87,21.9356,21.9356
,,,FOO.CRO.00009,HAMBURGER BLACK ANGUS 200GR,KG,GR,1000.0,14.95,0.6,8.97,8.97
,,,FOO.CRO.00010,HAMBURGER SCOTTONA 200GR,KG,GR,1000.0,11.45,0.6,6.87,6.87
,,CEREALI - ,,,,,,,,-21.2973,-21.2973
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,-0.6,-7.2973,-7.2973
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,-0.56,-14.0,-14.0
,,FARINA - ,,,,,,,,28.0648,28.0648
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,22,28.0648,28.0648
,,FORMAGG - ,,,,,,,,103.8211,103.8211
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,3.71,28.8393,28.8393
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,5,41.6736,41.6736
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,1,17.3082,17.3082
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,1,16.0,16.0
,,FRUTTFRE - ,,,,,,,,85.077,85.077
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,1.52,3.5845,3.5845
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,14.54,22.8287,22.8287
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,10.87,17.5627,17.5627
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,3.16,17.5811,17.5811
,,,FOO.FRU.00007,MELE,KG,GR,1000.0,2.8494,13.6,19.02,19.02
,,,FOO.FRU.00011,FRAGOLE,KG,GR,1000.0,4.5,1,4.5,4.5
,,FRUTTSEC - ,,,,,,,,30.0,30.0
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.4,26.0,26.0
,,,FOO.FRS.00007,MANDORLE,KG,GR,1000.0,20.0,0.2,4.0,4.0
,,GELATVAS - ,,,,,,,,17.7688,17.7688
,,,FOO.GVA.00001,GELATO VANIGLIA IN VASCHETTA,KG,GR,1000.0,5.6769,3.13,17.7688,17.7688
,,LATTICIN - ,,,,,,,,236.25,236.25
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,30,225.0,225.0
,,,FOO.LAT.00007,BOCCONCINI 70GR,KG,GR,1000.0,7.5,1.5,11.25,11.25
,,OLIO - ,,,,,,,,448.0081,448.0081
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,85,109.3893,109.3893
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,35,338.6188,338.6188
,,ORTAGGI - ,,,,,,,,487.2865,487.2865
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,0.1,0.3525,0.3525
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,40.94,55.9108,55.9108
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,4.7,6.9419,6.9419
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,1.25,2.0448,2.0448
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,6.88,39.2762,39.2762
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,22.6,31.7093,31.7093
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,7,35.0,35.0
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,49.29,126.6914,126.6914
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,8,9.9556,9.9556
,,,FOO.ORT.00011,ASPARAGI,KG,GR,1000.0,6.0,0.43,2.58,2.58
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,2.57,12.2075,12.2075
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,16.57,25.0301,25.0301
,,,FOO.ORT.00014,POMODORINI DATTERINI GIALLI,KG,GR,1000.0,3.6257,9.4,32.9483,32.9483
,,,FOO.ORT.00015,LATTUGA,PZ,PZ,1.0,1.0714,1,1.0,1.0
