Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,8368.5314,8368.5314
,BEVERAGE - ,,,,,,,,,1.3326,1.3326
,,VINOBIAN - ,,,,,,,,1.3326,1.3326
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,1,1.3326,1.3326
,FOOD - ,,,,,,,,,7559.6978,7559.6978
,,BURR - ,,,,,,,,53.5434,53.5434
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,6,53.5434,53.5434
,,CARNEBIA - ,,,,,,,,540.9348,540.9348
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,68.23,540.9348,540.9348
,,CARNEROS - ,,,,,,,,686.8469,686.8469
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,3,21.805,21.805
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,24.34,457.4806,457.4806
,,,FOO.CRO.00007,HAMBURGER SURGELATO AMADORI,KG,GR,1000.0,13.0,3.6,46.8,46.8
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,13.6,160.7613,160.7613
,,CEREALI - ,,,,,,,,18.5811,18.5811
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,0.5,6.0811,6.0811
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,0.5,12.5,12.5
,,FARINA - ,,,,,,,,27.3715,27.3715
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,22,27.3715,27.3715
,,FORMAGG - ,,,,,,,,155.0394,155.0394
,,,FOO.FOR.00007,FORMAGGIO GRATTUGGIATO SORESINA 100GR,PZ,PZ,1.0,1.17,2,2.34,2.34
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,6,49.0925,49.0925
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,2,35.9698,35.9698
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,1,16.0,16.0
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,3,8.8533,8.8533
,,,FOO.FOR.00019,FORMAGGIO PECORINO,KG,GR,1000.0,17.1183,0.2,3.4538,3.4538
,,,FOO.FOR.00020,FORMAGGIO GRANBIRAGHI,KG,GR,1000.0,11.4984,3.42,39.33,39.33
,,FRUTTFRE - ,,,,,,,,147.8439,147.8439
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,19.25,40.8565,40.8565
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,1,1.6432,1.6432
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,35.55,66.1134,66.1134
,,,FOO.FRU.00015,AVOCADO,KG,GR,1000.0,4.8718,8.5,39.2308,39.2308
,,FRUTTSEC - ,,,,,,,,57.43,57.43
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.59,38.35,38.35
,,,FOO.FRS.00007,MANDORLE,KG,GR,1000.0,20.0,0.8,16.0,16.0
,,,FOO.FRS.00014,UVA PASSA,KG,GR,1000.0,5.5,0.56,3.08,3.08
,,LATTICIN - ,,,,,,,,342.5313,342.5313
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,43.5,326.25,326.25
,,,FOO.LAT.00009,PROVOLONE STAGIONATO AGEROLA,KG,GR,1000.0,18.5008,0.88,16.2813,16.2813
,,MONODOLC - ,,,,,,,,17.241,17.241
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,14,17.241,17.241
,,OLIO - ,,,,,,,,432.5175,432.5175
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,98,140.9145,140.9145
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,30,291.603,291.603
,,ORTAGGI - ,,,,,,,,609.1958,609.1958
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,0.6,4.5689,4.5689
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,49.4,61.5682,61.5682
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,8.8,13.1701,13.1701
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,8.5,21.4286,21.4286
