Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,9430.9108,9430.9108
,BEVERAGE - ,,,,,,,,,6.663,6.663
,,VINOBIAN - ,,,,,,,,6.663,6.663
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,5,6.663,6.663
,FOOD - ,,,,,,,,,8506.8727,8506.8727
,,BURR - ,,,,,,,,35.3758,35.3758
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,4,35.3758,35.3758
,,CARNEBIA - ,,,,,,,,414.4585,414.4585
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,51.874,414.4585,414.4585
,,CARNEROS - ,,,,,,,,622.1235,622.1235
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,16.96,299.079,299.079
,,,FOO.CRO.00006,TRITO BOVINO ADULTO SV,KG,GR,10000.0,8.0,4.94,39.52,39.52
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,23.77,283.5245,283.5245
,,CEREALI - ,,,,,,,,9.5811,9.5811
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,0.5,6.0811,6.0811
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,0.14,3.5,3.5
,,FARINA - ,,,,,,,,28.815,28.815
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,25.5,28.815,28.815
,,FORMAGG - ,,,,,,,,206.5076,206.5076
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,9,91.6244,91.6244
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,2,36.4774,36.4774
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,6,17.7066,17.7066
,,,FOO.FOR.00019,FORMAGGIO PECORINO,KG,GR,1000.0,17.1183,1.43,24.4792,24.4792
,,,FOO.FOR.00020,FORMAGGIO GRANBIRAGHI,KG,GR,1000.0,11.4984,3.15,36.22,36.22
,,FRUTTFRE - ,,,,,,,,127.0567,127.0567
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,9.73,17.0212,17.0212
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,10,17.5864,17.5864
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,25.5,55.9106,55.9106
,,,FOO.FRU.00015,AVOCADO,KG,GR,1000.0,4.8718,7.5,36.5385,36.5385
,,FRUTTSEC - ,,,,,,,,94.07,94.07
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,1.41,91.65,91.65
,,,FOO.FRS.00014,UVA PASSA,KG,GR,1000.0,5.5,0.44,2.42,2.42
,,GELATVAS - ,,,,,,,,327.6312,327.6312
,,,FOO.GVA.00001,GELATO VANIGLIA IN VASCHETTA,KG,GR,1000.0,5.6769,16.37,92.9309,92.9309
,,,FOO.GVA.00002,GELATO STRACCIATELLA IN VASCHETTA,KG,GR,1000.0,11.4815,5.4,62.0002,62.0002
,,,FOO.GVA.00003,GELATO NOCCIOLA IN VASCHETTA,KG,GR,1000.0,5.6364,11,62.0004,62.0004
,,,FOO.GVA.00004,GELATO FRAGOLA IN VASCHETTA,KG,GR,1000.0,5.6769,13,73.7998,73.7998
,,,FOO.GVA.00005,GELATO LIMONE IN VASCHETTA,KG,GR,1000.0,5.6769,6.5,36.8999,36.8999
,,LATTICIN - ,,,,,,,,401.9047,401.9047
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,54.5,408.75,408.75
,,,FOO.LAT.00009,PROVOLONE STAGIONATO AGEROLA,KG,GR,1000.0,18.5008,-0.37,-6.8453,-6.8453
,,OLIO - ,,,,,,,,429.739,429.739
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,80,116.2108,116.2108
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,32,313.5282,313.5282
,,ORTAGGI - ,,,,,,,,543.1198,543.1198
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,0.5,4.6593,4.6593
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,61,73.9956,73.9956
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,3,13.8652,13.8652
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,10,51.2914,51.2914
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,37,40.2727,40.2727
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,7.5,38.0819,38.0819
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,19.1,55.2197,55.2197
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,7,35.0,35.0
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,27,40.2715,40.2715
,,,FOO.ORT.00014,POMODORINI DATTERINI GIALLI,KG,GR,1000.0,3.6257,7.9,24.3669,24.3669
,,,FOO.ORT.00018,CETRIOLI,KG,GR,1000.0,1.6287,59,61.7176,61.7176
,,,FOO.ORT.00019,PEPERONI ROSSI,KG,KG,1.0,2.4,5.17,10.1138,10.1138
,,,FOO.ORT.00020,PEPERONI GIALLI,KG,KG,1.0,1.8455,11.83,22.6177,22.6177
,,,FOO.ORT.00021,PEPERONI VERDI FRIGITELLI,KG,KG,1.0,2.7695,8.5,17.6611,17.6611
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,13.5,20.4486,20.4486
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,29,33.5368,33.5368
,,PANE - ,,,,,,,,133.3093,133.3093
,,,FOO.PAN.00005,PANGRATTATO MULINO BIANCO 400GR,PZ,PZ,1.0,1.1775,4,4.4332,4.4332
,,,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1.0,10.2,3,30.6,30.6
,,,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1.0,13.6,4,54.4,54.4
,,,FOO.PAN.00013,PANE BISCOTTATO INTEGRALE,PZ,PZ,1.0,2.2107,1,2.2104,2.2104
,,,FOO.PAN.00020,PANINI BUN PER HAMBURGHER 230GR,KG,GR,1000.0,7.6421,5.3,41.6657,41.6657
,,PASTAFRE - ,,,,,,,,165.084,165.084
,,,FOO.PSF.00001,SCIALATIELLI ARTIGIANALI GELO,KG,GR,1000.0,3.6,12.19,43.884,43.884
,,,FOO.PSF.00002,GNOCCHI DI PATATE ARTIGIANALI GELO,KG,GR,1000.0,2.8,16.5,46.2,46.2
,,,FOO.PSF.00003,RAVIOLI CAPRESI ARTIGIANALI GELO,KG,GR,1000.0,7.5,10,75.0,75.0
,,PASTAGRA - ,,,,,,,,36.152,36.152
,,,FOO.PST.00008,PASTA SPAGHETTI GLUTEN FREE,KG,KG,1.0,5.6656,0.5,2.6934,2.6934
,,,FOO.PST.00011,PASTA SPAGHETTONI GRAGNANESI 500GR,KG,GR,1000.0,3.8,7.5,28.5,28.5
,,,FOO.PST.00012,PASTA MEZZE MANICHE RIGATE 500GR,KG,GR,1000.0,3.3603,1.5,3.9686,3.9686
,,,FOO.PST.00013,PASTA LINGUINE 500GR,KG,GR,1000.0,1.98,0.5,0.99,0.99
,,PASTICCE - ,,,,,,,,86.5628,86.5628
,,,FOO.PPP.00008,TUORLO D'UOVO 1LT,LT,LT,1.0,7.0,2,14.1378,14.1378
,,,FOO.PPP.00019,PANNA HOPLA 1 LT,LT,CL,100.0,3.2,2.5,8.0,8.0
,,,FOO.PPP.00021,SAVOIARDI GR 300,PZ,PZ,1.0,1.8,20,36.0,36.0
,,,FOO.PPP.00022,MASCARPONE 500GR,KG,GR,1.0,9.6833,3,28.425,28.425
,,PESCEFRE - ,,,,,,,,1974.3266,1974.3266
,,,FOO.PES.00002,ASTICI,KG,KG,1.0,44.0,1,30.0,30.0
