Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,6920.0643,6920.0643
,FOOD - ,,,,,,,,,6293.791,6293.791
,,BURR - ,,,,,,,,39.798,39.798
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,4.5,39.798,39.798
,,CARNEBIA - ,,,,,,,,288.6859,288.6859
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,35.91,288.6859,288.6859
,,CARNEROS - ,,,,,,,,507.0694,507.0694
,,,FOO.CRO.00004,REALE BOVINO ADULTO SV,KG,GR,1000.0,9.5,4.76,49.98,49.98
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,24.88,431.7793,431.7793
,,,FOO.CRO.00006,TRITO BOVINO ADULTO SV,KG,GR,10000.0,8.0,2.82,22.56,22.56
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,0.23,2.7501,2.7501
,,CEREALI - ,,,,,,,,21.4324,21.4324
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,0.2,2.4324,2.4324
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,0.76,19.0,19.0
,,FARINA - ,,,,,,,,19.775,19.775
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,17.5,19.775,19.775
,,FORMAGG - ,,,,,,,,224.0154,224.0154
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,7.6,92.2549,92.2549
,,,FOO.FOR.00015,FORMAGGIO PHILADELPHIA GR 1650,PZ,PZ,1.0,18.8097,3,55.8581,55.8581
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,2.5,40.0,40.0
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,2,5.9454,5.9454
,,,FOO.FOR.00019,FORMAGGIO PECORINO,KG,GR,1000.0,17.1183,1.75,29.957,29.957
,,FRUTTFRE - ,,,,,,,,138.8935,138.8935
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,8,16.9951,16.9951
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,16.5,32.788,32.788
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,28,73.3258,73.3258
,,,FOO.FRU.00015,AVOCADO,KG,GR,1000.0,4.8718,3.24,15.7846,15.7846
,,FRUTTSEC - ,,,,,,,,28.2,28.2
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.4,26.0,26.0
,,,FOO.FRS.00014,UVA PASSA,KG,GR,1000.0,5.5,0.4,2.2,2.2
,,LATTICIN - ,,,,,,,,366.6562,366.6562
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,44.5,333.75,333.75
,,,FOO.LAT.00009,PROVOLONE STAGIONATO AGEROLA,KG,GR,1000.0,18.5008,1.53,28.3062,28.3062
,,,FOO.LAT.00010,PANNA DA CUCINA LIQUIDA DEBIC,LT,CL,100.0,4.6,1,4.6,4.6
,,MONODOLC - ,,,,,,,,6.1575,6.1575
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,5,6.1575,6.1575
,,OLIO - ,,,,,,,,472.1364,472.1364
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,114.5,167.6528,167.6528
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,31,304.4836,304.4836
,,ORTAGGI - ,,,,,,,,602.059,602.059
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,51,66.3,66.3
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,4,6.6667,6.6667
,,,FOO.ORT.00005,SEDANO,KG,KG,1.0,4.8487,4,18.7894,18.7894
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,6.2,31.1601,31.1601
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,51.5,77.5144,77.5144
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,8,40.1056,40.1056
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,13.4,52.0401,52.0401
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,4,20.0,20.0
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,16,30.345,30.345
,,,FOO.ORT.00014,POMODORINI DATTERINI GIALLI,KG,GR,1000.0,3.6257,13,47.1336,47.1336
,,,FOO.ORT.00018,CETRIOLI,KG,GR,1000.0,1.6287,53.9,80.7239,80.7239
,,,FOO.ORT.00019,PEPERONI ROSSI,KG,KG,1.0,2.4,11.63,23.1285,23.1285
,,,FOO.ORT.00020,PEPERONI GIALLI,KG,KG,1.0,1.8455,11.17,20.6144,20.6144
,,,FOO.ORT.00021,PEPERONI VERDI FRIGITELLI,KG,KG,1.0,2.7695,3,6.2334,6.2334
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,33.5,57.5563,57.5563
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,20,23.7476,23.7476
,,PANE - ,,,,,,,,116.525,116.525
,,,FOO.PAN.00005,PANGRATTATO MULINO BIANCO 400GR,PZ,PZ,1.0,1.1775,5,5.5415,5.5415
,,,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1.0,10.2,2,20.4,20.4
,,,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1.0,13.6,3,40.8,40.8
