Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,4185.3629,4185.3629
,BEVERAGE - ,,,,,,,,,15.0584,15.0584
,,LATTE - ,,,,,,,,9.728,9.728
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,8,9.728,9.728
,,VINOBIAN - ,,,,,,,,5.3304,5.3304
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,4,5.3304,5.3304
,FOOD - ,,,,,,,,,3870.3721,3870.3721
,,BURR - ,,,,,,,,39.542,39.542
,,,FOO.BUR.00002,BURRO 1KG,KG,KG,1.0,8.7871,4.5,39.542,39.542
,,CARNEBIA - ,,,,,,,,214.0124,214.0124
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,24.55,197.3624,197.3624
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,4.5,16.65,16.65
,,CARNEROS - ,,,,,,,,162.7052,162.7052
,,,FOO.CRO.00004,REALE BOVINO ADULTO SV,KG,GR,1000.0,9.5,1.9,18.05,18.05
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,2.8,48.5926,48.5926
,,,FOO.CRO.00006,TRITO BOVINO ADULTO SV,KG,GR,10000.0,8.0,3.04,24.32,24.32
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,6,71.7426,71.7426
,,CEREALI - ,,,,,,,,3.6487,3.6487
,,,FOO.CER.00008,SESAMO BIANCO,KG,GR,1000.0,12.1622,0.3,3.6487,3.6487
,,FARINA - ,,,,,,,,15.82,15.82
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,14,15.82,15.82
,,FORMAGG - ,,,,,,,,122.3134,122.3134
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,5,60.694,60.694
