Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
CUCINA,,,,,,,,,,1361.9385,1361.9385
,BEVERAGE - ,,,,,,,,,3.7646,3.7646
,,LATTE - ,,,,,,,,2.432,2.432
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,2,2.432,2.432
,,VINOBIAN - ,,,,,,,,1.3326,1.3326
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,1,1.3326,1.3326
,FOOD - ,,,,,,,,,1189.758,1189.758
,,CARNEBIA - ,,,,,,,,112.89,112.89
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,7.53,71.38,71.38
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,8.9,35.96,35.96
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,1.5,5.55,5.55
,,CARNEROS - ,,,,,,,,166.9255,166.9255
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,7.102,54.61,54.61
,,,FOO.CRO.00005,ENTRECOTE BOVINO SV,KG,GR,1000.0,10.5779,4.966,52.53,52.53
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,5,59.7855,59.7855
,,FORMAGG - ,,,,,,,,97.1957,97.1957
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,2,24.2776,24.2776
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,4,64.0,64.0
,,,FOO.FOR.00018,FORMAGGIO FETA CUBETTATA GR 15O,PZ,PZ,1.0,2.9727,3,8.9181,8.9181
,,FRUTTFRE - ,,,,,,,,23.1003,23.1003
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,3.973,9.3868,9.3868
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,5,13.7135,13.7135
,,LATTICIN - ,,,,,,,,30.0,30.0
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,4,30.0,30.0
,,OLIO - ,,,,,,,,49.1735,49.1735
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,5,49.1735,49.1735
,,ORTAGGI - ,,,,,,,,225.3434,225.3434
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,19.5,25.35,25.35
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,8,11.8334,11.8334
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,5,10.72,10.72
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,12.3,19.68,19.68
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,1,5.0,5.0
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,7.2,23.04,23.04
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,1,5.0,5.0
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,8,15.0,15.0
,,,FOO.ORT.00016,POMODORI SORRENTO,KG,GR,1000.0,1.6366,12.905,21.12,21.12
,,,FOO.ORT.00019,PEPERONI ROSSI,KG,KG,1.0,2.4,10.5,25.2,25.2
,,,FOO.ORT.00023,BROCCOLI,KG,GR,1000.0,2.0,11,22.0,22.0
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,11,26.4,26.4
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,9,15.0,15.0
,,PANE - ,,,,,,,,28.2214,28.2214
,,,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1.0,10.2,1,10.2,10.2
,,,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1.0,13.6,1,13.6,13.6
,,,FOO.PAN.00013,PANE BISCOTTATO INTEGRALE,PZ,PZ,1.0,2.2107,2,4.4214,4.4214
,,PASTAFRE - ,,,,,,,,32.07,32.07
,,,FOO.PSF.00001,SCIALATIELLI ARTIGIANALI GELO,KG,GR,1000.0,3.6,2.2,7.92,7.92
,,,FOO.PSF.00002,GNOCCHI DI PATATE ARTIGIANALI GELO,KG,GR,1000.0,2.8,1.5,4.2,4.2
,,,FOO.PSF.00003,RAVIOLI CAPRESI ARTIGIANALI GELO,KG,GR,1000.0,7.5,2,15.0,15.0
,,,FOO.PST.00016,PASTA ORECCHIETTE,KG,GR,1000.0,1.98,2.5,4.95,4.95
,,PASTAGRA - ,,,,,,,,34.7712,34.7712
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,2,2.4898,2.4898
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,4.5,5.94,5.94
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,6,7.92,7.92
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,2.5,3.3,3.3
,,,FOO.PST.00012,PASTA MEZZE MANICHE RIGATE 500GR,KG,GR,1000.0,3.3603,4.5,15.1214,15.1214
,,PESCEFRE - ,,,,,,,,58.5,58.5
,,,FOO.PES.00009,VONGOLE ITALIA,KG,GR,1000.0,19.5,3,58.5,58.5
,,PESCESUR - ,,,,,,,,41.9757,41.9757
,,,FOO.PES.00004,POLPO T5 MAROCCO GELO,KG,GR,1000.0,13.1174,3.2,41.9757,41.9757
,,RISO - ,,,,,,,,5.0,5.0
,,,FOO.RIS.0003,RISO CARNAROLI CASCINA SAN MAGLIOLO,KG,GR,1000.0,5.0,1,5.0,5.0
,,SCATOLAM - ,,,,,,,,204.7448,204.7448
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,12,13.6464,13.6464
,,,FOO.SCA.00007,CAPPERI SOTTO SALE 100GR,PZ,PZ,1.0,0.648,1,0.648,0.648
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,3,8.97,8.97
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,12,12.2196,12.2196
,,,FOO.SCA.00012,FAGIOLI BORLOTTI 400GRX12PZ,PZ,PZ,1.0,0.8551,12,10.2614,10.2614
,,,FOO.SCA.00015,"PELATI 2,5KG",PZ,PZ,1.0,1.5428,4,6.1712,6.1712
,,,FOO.SCA.00017,TONNO VIANDER KG 1,KG,GR,1000.0,10.0,2,20.0,20.0
,,,FOO.SCA.00018,TONNO DELFINO 870GR,PZ,PZ,1.0,14.48,7,101.36,101.36
,,,FOO.SCA.00019,LENTICCHIE GR 400,PZ,PZ,1.0,2.6327,3,7.8982,7.8982
,,,FOO.SCA.00020,"FAGIOLI HEINZ 2,60KG",PZ,PZ,1.0,8.27,1,8.27,8.27
,,,FOO.SCA.00022,ORZO PERLATO,PZ,PZ,1.0,1.4,3,4.2,4.2
,,,FOO.SCA.00023,FARRO,PZ,PZ,1.0,1.65,4,6.6,6.6
,,,FOO.SCA.00024,ALICI DELFINO GR 180,PZ,PZ,1.0,4.5,1,4.5,4.5
,,SEMILSAL - ,,,,,,,,32.292,32.292
,,,FOO.SSA.00010,FRITTO MISTO 6KG,KG,KG,1.0,7.179,1.5,10.7685,10.7685
,,,FOO.SSA.00019,"PATATE DIPPERS 2,5 KG X 4 PZ",KG,GR,1000.0,2.8698,7.5,21.5235,21.5235
,,SNACKSAL - ,,,,,,,,15.7092,15.7092
,,,FOO.SNS.00011,OLIVE NERE,KG,KG,1.0,7.8546,2,15.7092,15.7092
,,SPEZIECO - ,,,,,,,,31.8453,31.8453
,,,FOO.SPE.00013,KETCHUP 875ML,PZ,PZ,1.0,4.7533,1,4.7533,4.7533
,,,FOO.SPE.00028,SALSA CAESAR SALAD 850GR,PZ,PZ,1.0,5.842,1,5.842,5.842
,,,FOO.SPE.00029,SALSA GRECA 500GR,PZ,PZ,1.0,2.125,10,21.25,21.25
,PULIZIA - ,,,,,,,,,53.4723,53.4723
,,DETERGEN - ,,,,,,,,34.8149,34.8149
,,,PUL.DET.00007,BRILLANTANTE LAVAST.TOPRINSE ECOLAB 5L,PZ,PZ,1.0,34.8149,1,34.8149,34.8149
,,STRPULIZ - ,,,,,,,,18.6574,18.6574
,,,PUL.STR.00001,PALETTA CON MANICO,PZ,PZ,1.0,2.4304,1,2.4304,2.4304
,,,PUL.STR.00005,BASTONE PER SCOPA,PZ,PZ,1.0,1.229,1,1.229,1.229
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,5,14.998,14.998
,VARIE - ,,,,,,,,,114.9436,114.9436
,,CARTBUSA - ,,,,,,,,43.1123,43.1123
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,35.5953,35.5953
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.517,7.517
,,MONOUSO - ,,,,,,,,65.4516,65.4516
,,,VAR.MON.00037,COPERCHI PER INSALATIERA 1000ML,PZ,PZ,1.0,0.2292,48,11.0016,11.0016
,,,VAR.MON.00042,INSALATIERA 1200ML,PZ,PZ,1.0,0.27,145,39.15,39.15
,,,VAR.MON.00051,INSALATIERA 750ML,PZ,PZ,1.0,0.2125,72,15.3,15.3
,,PROCUCIN - ,,,,,,,,6.3797,6.3797
,,,VAR.PRO.00001,CARTA PELLICOLA CUKI 300MT X8 ROTOLO,PZ,PZ,1.0,6.3797,1,6.3797,6.3797
,,,,,,,,,TOTALE,1361.9385,1361.9385
