Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,55.6806,55.6806
,BEVERAGE - ,,,,,,,,,33.971,33.971
,,GIN - ,,,,,,,,14.929,14.929
,,,BEV.GIN.00005,GIN MARE,LT,CL,100.0,37.3224,0.4,14.929,14.929
,,RUM - ,,,,,,,,7.41,7.41
,,,BEV.RUM.00006,RUM DIPLOMATICO,LT,CL,100.0,37.05,0.2,7.41,7.41
,,SOFDRINK - ,,,,,,,,11.632,11.632
,,,BEV.SOF.00050,"SUCCO ARANCIA ROSSA DERBY 1,5LT",LT,CL,100.0,1.1625,9,11.632,11.632
,FOOD - ,,,,,,,,,21.7096,21.7096
,,CARNEBIA - ,,,,,,,,11.9675,11.9675
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,1.558,11.9675,11.9675
,,FRUTTFRE - ,,,,,,,,2.5571,2.5571
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,1.7,2.5571,2.5571
,,ORTAGGI - ,,,,,,,,2.6,2.6
,,,FOO.ORT.00001,MENTA FRESCA,KG,GR,1000.0,9.8864,0.8,2.6,2.6
,,SPEZIECO - ,,,,,,,,4.585,4.585
,,,FOO.MON.00005,MAIONESE BUSTINE,CF,CF,1.0,9.1922,1,4.585,4.585
,,,,,,,,,TOTALE,55.6806,55.6806
