Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,75.802,75.802
,BEVERAGE - ,,,,,,,,,14.407,14.407
,,BIRRE - ,,,,,,,,11.8683,11.8683
,,,BEV.BIR.00008,BIRRA CORONA 33CL X 24 VAP,BT,BT,1.0,1.1021,11,11.8683,11.8683
,,VINBOLL - ,,,,,,,,2.5387,2.5387
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,0.5,2.5387,2.5387
,FOOD - ,,,,,,,,,61.395,61.395
,,FRUTTFRE - ,,,,,,,,16.8824,16.8824
,,,FOO.FRU.00004,LIME,KG,GR,1000.0,5.1834,3.5,16.8824,16.8824
,,SNACKSAL - ,,,,,,,,23.1763,23.1763
,,,FOO.SNS.00002,TARALLI,KG,GR,1000.0,4.0042,10,23.1763,23.1763
,,SPEZIECO - ,,,,,,,,10.8642,10.8642
,,,FOO.MON.00007,ACETO BALSAMICO BUSTINE,CF,CF,1.0,14.3361,1,10.8642,10.8642
,,YOGURT - ,,,,,,,,10.4721,10.4721
,,,FOO.YOG.00002,YOGURT BIANCO KG.5,PZ,PZ,1.0,10.47,1,10.4721,10.4721
,,,,,,,,,TOTALE,75.802,75.802
