Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,219.8291,219.8291
,BEVERAGE - ,,,,,,,,,11.7,11.7
,,LIQUORI - ,,,,,,,,11.7,11.7
,,,BEV.LIQ.00027,LIQUORE LIMONCELLO TENTAZIONI LT.2,LT,CL,100.0,7.5217,1.5,11.7,11.7
,FOOD - ,,,,,,,,,208.1291,208.1291
,,CEREALI - ,,,,,,,,52.8147,52.8147
,,,FOO.CER.00001,CEREALI RISO SOFFIATO CACAO ALPEDI' 1KG,KG,KG,1.0,3.8395,3,8.7692,8.7692
,,,FOO.CER.00003,CEREALI RISO SOFFIATO ALPEDI' 1KG,KG,KG,1.0,2.411,12,44.0455,44.0455
,,FRUTTFRE - ,,,,,,,,23.3599,23.3599
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,15,23.3599,23.3599
,,ORTAGGI - ,,,,,,,,30.6364,30.6364
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,2.5,14.2719,14.2719
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,2.5,12.5,12.5
,,,FOO.ORT.00012,PREZZEMOLO,KG,GR,1000.0,5.0,0.6,2.85,2.85
,,,FOO.ORT.00017,CAROTE JULIENNE,PZ,PZ,1.0,1.0145,1,1.0145,1.0145
,,SEMILSAL - ,,,,,,,,101.3181,101.3181
,,,FOO.SSA.00001,"CALZONE POMODORO MOZZ 130GR  3,9KGX30PZ",PZ,PZ,30.0,0.9933,102,101.3181,101.3181
,,,,,,,,,TOTALE,219.8291,219.8291
