Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,55.7558,55.7558
,BEVERAGE - ,,,,,,,,,18.4668,18.4668
,,ACQUA - ,,,,,,,,6.2491,6.2491
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,36,6.2491,6.2491
,,APERITIV - ,,,,,,,,3.3999,3.3999
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,7,3.3999,3.3999
,,SOFDRINK - ,,,,,,,,8.8178,8.8178
,,,BEV.SOF.00014,COCA COLA 33CL X 24 VAP,BT,BT,1.0,0.7661,2,1.513,1.513
,,,BEV.SOF.00035,REDBULL 33CLX24PZ,BT,BT,1.0,1.2426,7,7.3048,7.3048
,FOOD - ,,,,,,,,,37.289,37.289
,,FRUTTFRE - ,,,,,,,,16.9365,16.9365
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,15,16.9365,16.9365
,,ORTAGGI - ,,,,,,,,20.3525,20.3525
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,3.4,8.5204,8.5204
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,12,11.8321,11.8321
,,,,,,,,,TOTALE,55.7558,55.7558
