Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,181.0444,181.0444
,FOOD - ,,,,,,,,,171.3814,171.3814
,,FORMAGG - ,,,,,,,,7.02,7.02
,,,FOO.FOR.00007,FORMAGGIO GRATTUGGIATO SORESINA 100GR,PZ,PZ,1.0,1.17,6,7.02,7.02
,,FRUTTFRE - ,,,,,,,,19.5095,19.5095
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,20,19.5095,19.5095
,,ORTAGGI - ,,,,,,,,126.2851,126.2851
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,2,10.2583,10.2583
,,,FOO.ORT.00008,RUCOLA,KG,GR,1000.0,5.0,2,10.1552,10.1552
,,,FOO.ORT.00009,POMODORINI DATTERINI ROSSI,KG,GR,1000.0,3.2,4,11.5643,11.5643
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,7,8.7493,8.7493
,,,FOO.ORT.00016,POMODORI SORRENTO,KG,GR,1000.0,1.6366,37,85.558,85.558
,,VERDURA - ,,,,,,,,18.5668,18.5668
,,,FOO.VER.00001,CIPOLLA,KG,KG,1.0,1.5472,12,18.5668,18.5668
,PULIZIA - ,,,,,,,,,2.04,2.04
,,DETERGEN - ,,,,,,,,2.04,2.04
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,1,2.04,2.04
,VARIE - ,,,,,,,,,7.623,7.623
,,CARTBUSA - ,,,,,,,,7.623,7.623
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.623,7.623
,,,,,,,,,TOTALE,181.0444,181.0444
