Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,223.944,223.944
,BEVERAGE - ,,,,,,,,,107.3455,107.3455
,,BIRRE - ,,,,,,,,63.3419,63.3419
,,,BEV.BIR.00002,BIRRA HEINEKEN 33CL X 24 VAP,BT,BT,1.0,0.8772,72,63.3419,63.3419
,,SOFDRINK - ,,,,,,,,44.0036,44.0036
,,,BEV.SOF.00020,THE LIMONE FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.566,12,6.7919,6.7919
,,,BEV.SOF.00044,FANTA ORANGE 33CLX24 VAP,PZ,PZ,1.0,0.7503,11,8.2533,8.2533
,,,BEV.SOF.00056,SCHWEPPES ARANCIA 18CLX24PZ,PZ,PZ,1.0,0.6033,48,28.9584,28.9584
,FOOD - ,,,,,,,,,116.5985,116.5985
,,FRUTTFRE - ,,,,,,,,16.9951,16.9951
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,8,16.9951,16.9951
,,ORTAGGI - ,,,,,,,,33.5074,33.5074
,,,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1.0,3.0293,7.7,21.2739,21.2739
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,1,5.0258,5.0258
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,6,7.2077,7.2077
,,SEMILDOL - ,,,,,,,,66.096,66.096
,,,FOO.SDO.00001,CORNETTO CEREALI E F. DI BOSCO 75GRX50PZ,PZ,PZ,1.0,0.612,108,66.096,66.096
,,,,,,,,,TOTALE,223.944,223.944
