Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DEPERIME,,,,,,,,,,1285.7646,1285.7646
,BEVERAGE - ,,,,,,,,,1181.3768,1181.3768
,,CAFFETT - ,,,,,,,,1152.3,1152.3
,,,BEV.CAF.00027,CIOCCOLATO SOLUBILE 1KG,PZ,PZ,1.0,16.7,69,1152.3,1152.3
,,SOFDRINK - ,,,,,,,,29.0768,29.0768
,,,BEV.SOF.00004,SUCCO MIRTILLO AMITA 20CL X 24,BT,BT,1.0,0.697,1,0.697,0.697
,,,BEV.SOF.00005,SUCCO POMPELMO AMITA 20CL X 24,BT,BT,1.0,0.48,1,0.48,0.48
,,,BEV.SOF.00007,SUCCO PERA AMITA 20CL X 24,BT,BT,1.0,0.4879,5,2.4395,2.4395
,,,BEV.SOF.00008,SUCCO ANANAS AMITA 20CL X 24,BT,BT,1.0,0.6387,9,5.7483,5.7483
,,,BEV.SOF.00013,FANTA ORANGE 45CL X 12 PET,BT,BT,1.0,0.9333,2,1.8666,1.8666
,,,BEV.SOF.00020,THE LIMONE FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.566,9,5.094,5.094
,,,BEV.SOF.00021,THE PESCA FUZE TEA 40CL X 12 PET,BT,BT,1.0,0.5822,12,6.9864,6.9864
,,,BEV.SOF.00032,THE ESTATHE PESCA 250MLX24PZ,PZ,PZ,1.0,0.6517,6,3.9102,3.9102
,,,BEV.SOF.00041,THE ESTATHE' LIMONE 250MLX24PZ,PZ,PZ,1.0,0.9274,2,1.8548,1.8548
,FOOD - ,,,,,,,,,33.6878,33.6878
,,PANE - ,,,,,,,,9.4198,9.4198
,,,FOO.PAN.00005,PANGRATTATO MULINO BIANCO 400GR,PZ,PZ,1.0,1.1775,8,9.4198,9.4198
,,SEMILDOL - ,,,,,,,,24.268,24.268
,,,FOO.SDO.00025,SACCOTTINO CEREALI F. DI BOSCO 85GRX60PZ,PZ,PZ,1.0,0.6067,40,24.268,24.268
,PULIZIA - ,,,,,,,,,5.2,5.2
,,DETERGEN - ,,,,,,,,5.2,5.2
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,13,5.2,5.2
,VARIE - ,,,,,,,,,65.5,65.5
,,MONOUSO - ,,,,,,,,65.5,65.5
,,,VAR.MON.00011,BICCHIERI PLASTICA KRISTAL 40CL20CFX50PZ,CF,CF,1.0,2.5,13,32.5,32.5
,,,VAR.MON.00013,BICCHIERI PLASTICA KRISTAL 16CL30CFX100P,CF,CF,1.0,1.0,33,33.0,33.0
,,,,,,,,,TOTALE,1285.7646,1285.7646
