Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,851.0763,851.0763
,BEVERAGE - ,,,,,,,,,67.5028,67.5028
,,ACQUA - ,,,,,,,,55.5505,55.5505
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,72,8.5045,8.5045
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,12,1.806,1.806
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,156,45.24,45.24
,,CAFFETT - ,,,,,,,,0.145,0.145
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,1,0.145,0.145
,,LATTE - ,,,,,,,,1.1843,1.1843
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,1,1.1843,1.1843
,,VINBOLL - ,,,,,,,,10.623,10.623
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,2.25,10.623,10.623
,FOOD - ,,,,,,,,,674.3407,674.3407
,,CARNEBIA - ,,,,,,,,130.0425,130.0425
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,8.12,62.3725,62.3725
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,19.39,67.67,67.67
,,CARNEROS - ,,,,,,,,80.8371,80.8371
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,13.112,80.8371,80.8371
,,FARINA - ,,,,,,,,14.5768,14.5768
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,12,14.5768,14.5768
,,FORMAGG - ,,,,,,,,35.468,35.468
,,,FOO.FOR.00005,RICOTTA,KG,GR,1000.0,4.8639,0.696,3.3853,3.3853
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,3.422,28.5727,28.5727
,,,FOO.FOR.00007,FORMAGGIO GRATTUGGIATO SORESINA 100GR,PZ,PZ,1.0,1.17,3,3.51,3.51
,,FRUTTSEC - ,,,,,,,,5.238,5.238
,,,FOO.FRS.00001,CEDRO A CUBETTI IL JOLLY 120GR,PZ,PZ,1.0,1.485,2,2.97,2.97
,,,FOO.FRS.00002,ARANCIO A CUBETTI IL JOLLY 120GR,PZ,PZ,1.0,1.134,2,2.268,2.268
,,MONODOLC - ,,,,,,,,14.008,14.008
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,4.5,10.72,10.72
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,0.9,2.057,2.057
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,1,1.231,1.231
,,OLIO - ,,,,,,,,27.72,27.72
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,3,27.72,27.72
,,ORTAGGI - ,,,,,,,,85.8122,85.8122
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,19.5,31.0944,31.0944
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,5.3,7.691,7.691
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,0.5,3.5,3.5
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,12.5,18.75,18.75
,,,FOO.ORT.0008,ZUCCHINE,KG,KG,1.0,2.4,10.5,14.7768,14.7768
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,10,10.0,10.0
,,PANE - ,,,,,,,,5.368,5.368
,,,FOO.PAN.00005,PANGRATTATO MULINO BIANCO 400GR,PZ,PZ,1.0,1.1775,4,5.368,5.368
,,PASTAGRA - ,,,,,,,,25.3114,25.3114
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,2.5,2.2114,2.2114
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,13.5,17.82,17.82
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,4,5.28,5.28
,,PESCESUR - ,,,,,,,,11.86,11.86
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,2,11.86,11.86
,,SCATOLAM - ,,,,,,,,158.5135,158.5135
,,,FOO.SCA.00003,POMODORINI POMILIA 400GRX24PZ,PZ,PZ,1.0,1.0485,48,36.29,36.29
,,,FOO.SCA.00007,CAPPERI SOTTO SALE 100GR,PZ,PZ,1.0,0.648,3,1.944,1.944
,,,FOO.SCA.00008,TONNO 80GR,PZ,PZ,1.0,1.0467,9,9.42,9.42
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,16,36.9917,36.9917
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,7,20.4344,20.4344
,,,FOO.SCA.00012,FAGIOLI BORLOTTI 400GRX12PZ,PZ,PZ,1.0,0.8551,9,8.3402,8.3402
,,,FOO.SCA.00013,TONNO' 80GR,PZ,PZ,1.0,2.4397,14,40.0932,40.0932
,,,FOO.SCA.00014,PELATI 500 G X 24 PZ,PZ,PZ,1.0,1.0,5,5.0,5.0
,,SEMILDOL - ,,,,,,,,5.65,5.65
,,,FOO.SDO.00038,BISCOTTI FROLLINO CACAO 700GR,CF,CF,1.0,2.47,1,2.47,2.47
,,,FOO.SDO.00039,BISCOTTI COLUSSI 500GR,CF,CF,1.0,1.99,1,1.99,1.99
,,,FOO.SDO.00040,BISCOTTI OTTIMINI INTEGRALI 350GR,CF,CF,1.0,1.19,1,1.19,1.19
,,SEMILSAL - ,,,,,,,,25.05,25.05
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,3,25.05,25.05
,,SNACKSAL - ,,,,,,,,14.5062,14.5062
,,,FOO.SNS.00003,OLIVE VERDI,KG,KG,1.0,6.995,2,14.5062,14.5062
,,SPEZIECO - ,,,,,,,,22.7433,22.7433
,,,FOO.SPE.00005,ROSMARINO,KG,GR,1000.0,12.22,0.5,9.72,9.72
,,,FOO.SPE.00009,ORIGANO,KG,GR,1000.0,4.68,0.5,2.34,2.34
,,,FOO.SPE.00012,CANNELLA 2OGR,PZ,PZ,1.0,1.4533,1,1.4533,1.4533
,,,FOO.SPE.00013,KETCHUP 875ML,PZ,PZ,1.0,4.7533,1,3.96,3.96
,,,FOO.SPE.00014,MAIONESE BIFFI 875ML,PZ,PZ,1.0,5.7412,1,5.27,5.27
,,VERDURA - ,,,,,,,,11.6357,11.6357
,,,FOO.VER.00001,CIPOLLA,KG,KG,1.0,1.5472,7.5,11.6357,11.6357
,PULIZIA - ,,,,,,,,,44.0,44.0
,,DETERGEN - ,,,,,,,,44.0,44.0
,,,PUL.DET.00025,PASTICCHE LAVASTOVIGLIE FAIRY 2CFX100PZ,CF,CF,1.0,14.6667,3,44.0,44.0
,VARIE - ,,,,,,,,,65.2328,65.2328
,,CARTBUSA - ,,,,,,,,30.0,30.0
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,8,30.0,30.0
,,MONOUSO - ,,,,,,,,35.2328,35.2328
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,6,24.7328,24.7328
,,,VAR.MON.00027,BICCHIERI PLASTICA BIANCHI 8CL 1CFX100PZ,CF,CF,1.0,1.0,6,6.0,6.0
