Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,1061.5481,1061.5481
,BEVERAGE - ,,,,,,,,,47.0435,47.0435
,,ACQUA - ,,,,,,,,47.0435,47.0435
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,12,1.8035,1.8035
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,156,45.24,45.24
,FOOD - ,,,,,,,,,938.0278,938.0278
,,CARNEBIA - ,,,,,,,,89.967,89.967
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,7.854,62.0997,62.0997
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,7.273,27.8673,27.8673
,,CARNEROS - ,,,,,,,,60.2131,60.2131
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,6.65,45.7031,45.7031
,,,FOO.CRO.00003,MACINATO DI CARNE,KG,KG,1.0,13.8933,1.566,14.51,14.51
,,FARINA - ,,,,,,,,12.0575,12.0575
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,9,12.0575,12.0575
,,FORMAGG - ,,,,,,,,53.5863,53.5863
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,5.3,41.1988,41.1988
,,,FOO.FOR.00007,FORMAGGIO GRATTUGGIATO SORESINA 100GR,PZ,PZ,1.0,1.17,3,3.51,3.51
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,1,8.8775,8.8775
,,FRUTTFRE - ,,,,,,,,65.95,65.95
,,,FOO.FRU.00006,PERE,KG,GR,1000.0,2.8,19,53.2,53.2
,,,FOO.FRU.00007,MELE,KG,GR,1000.0,2.8494,8.5,12.75,12.75
,,LATTICIN - ,,,,,,,,15.0,15.0
,,,FOO.LAT.00001,FIOR DI LATTE CUBETTATO,KG,GR,1000.0,7.5,2,15.0,15.0
,,MONODOLC - ,,,,,,,,13.6383,13.6383
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,4.5,11.3527,11.3527
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,1,2.2856,2.2856
,,OLIO - ,,,,,,,,18.48,18.48
,,,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1.0,9.8347,2,18.48,18.48
,,ORTAGGI - ,,,,,,,,95.7442,95.7442
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,5,7.4096,7.4096
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,6,8.8619,8.8619
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,1,5.04,5.04
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,12.5,19.6552,19.6552
,,,FOO.ORT.00010,MISTICANZA,PZ,PZ,1.0,1.211,12,14.8,14.8
