Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,1324.8178,1324.8178
,BEVERAGE - ,,,,,,,,,375.2,375.2
,,ACQUA - ,,,,,,,,52.2,52.2
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,396,52.2,52.2
,,CAFFETT - ,,,,,,,,323.0,323.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,19,323.0,323.0
,FOOD - ,,,,,,,,,823.1367,823.1367
,,CARNEBIA - ,,,,,,,,127.2192,127.2192
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,3,23.2165,23.2165
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,21.923,85.5027,85.5027
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,5,18.5,18.5
,,CARNEROS - ,,,,,,,,167.7976,167.7976
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,10.6,74.5676,74.5676
,,,FOO.CRO.00003,MACINATO DI CARNE,KG,KG,1.0,13.8933,4.09,46.43,46.43
,,,FOO.CRO.00007,HAMBURGER SURGELATO AMADORI,KG,GR,1000.0,13.0,3.6,46.8,46.8
,,CEREALI - ,,,,,,,,13.0737,13.0737
,,,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1.0,3.8219,14,13.0737,13.0737
,,FORMAGG - ,,,,,,,,2.34,2.34
,,,FOO.FOR.00007,FORMAGGIO GRATTUGGIATO SORESINA 100GR,PZ,PZ,1.0,1.17,2,2.34,2.34
,,LATTICIN - ,,,,,,,,15.0,15.0
,,,FOO.LAT.00001,FIOR DI LATTE CUBETTATO,KG,GR,1000.0,7.5,2,15.0,15.0
,,ORTAGGI - ,,,,,,,,28.2825,28.2825
,,,FOO.ORT.00003,PATATE,KG,KG,1.0,1.3,10,13.6568,13.6568
,,,FOO.ORT.00004,CAROTE,KG,GR,1000.0,1.4792,2,2.954,2.954
,,,FOO.ORT.00006,BASILICO,KG,GR,1000.0,2.144,1,5.7087,5.7087
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,5,5.963,5.963
,,PANE - ,,,,,,,,1.1083,1.1083
,,,FOO.PAN.00005,PANGRATTATO MULINO BIANCO 400GR,PZ,PZ,1.0,1.1775,1,1.1083,1.1083
,,PASTAGRA - ,,,,,,,,39.6069,39.6069
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,1.5,1.3269,1.3269
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,6,7.92,7.92
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,18.5,24.42,24.42
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,4.5,5.94,5.94
,,PESCESUR - ,,,,,,,,244.322,244.322
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,13,161.302,161.302
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,14,83.02,83.02
,,RISO - ,,,,,,,,7.47,7.47
,,,FOO.RIS.00002,RISO ARBORIO,KG,GR,1000.0,2.1895,3,7.47,7.47
,,SCATOLAM - ,,,,,,,,102.5838,102.5838
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,1,1.2542,1.2542
,,,FOO.SCA.00005,FUNGHI CHAMPIGNON 400GRX24PZ,PZ,PZ,1.0,0.5,4,2.0,2.0
,,,FOO.SCA.00006,PASSATA DI POMODORO POMILIA 700GRX12,PZ,PZ,1.0,1.1271,5,5.6356,5.6356
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,27,33.358,33.358
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,12,19.9572,19.9572
,,,FOO.SCA.00012,FAGIOLI BORLOTTI 400GRX12PZ,PZ,PZ,1.0,0.8551,13,11.1024,11.1024
,,,FOO.SCA.00013,TONNO' 80GR,PZ,PZ,1.0,2.4397,12,29.2764,29.2764
,,SEMILSAL - ,,,,,,,,68.0075,68.0075
,,,FOO.SSA.00010,FRITTO MISTO 6KG,KG,KG,1.0,7.179,7.5,42.9575,42.9575
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,3,25.05,25.05
,,VERDURA - ,,,,,,,,6.3252,6.3252
,,,FOO.VER.00001,CIPOLLA,KG,KG,1.0,1.5472,4,6.3252,6.3252
,VARIE - ,,,,,,,,,126.4811,126.4811
,,CARTBUSA - ,,,,,,,,31.4286,31.4286
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,8,31.4286,31.4286
,,MONOUSO - ,,,,,,,,95.0525,95.0525
,,,VAR.MON.00006,BICCHIERI CARTA 10 CL SP4 1X50 PZ,CF,CF,1.0,0.8381,10,6.0,6.0
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,21,89.0525,89.0525
,,,,,,,,,TOTALE,1324.8178,1324.8178
