Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,790.9771,790.9771
,BEVERAGE - ,,,,,,,,,86.4117,86.4117
,,ACQUA - ,,,,,,,,35.4117,35.4117
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,204,35.4117,35.4117
,,CAFFETT - ,,,,,,,,51.0,51.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,3,51.0,51.0
,FOOD - ,,,,,,,,,655.6324,655.6324
,,CARNEBIA - ,,,,,,,,97.3391,97.3391
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,24.86,95.4891,95.4891
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,0.5,1.85,1.85
,,CARNEROS - ,,,,,,,,98.8495,98.8495
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,13.6,98.8495,98.8495
,,MONODOLC - ,,,,,,,,15.7622,15.7622
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,6,15.7622,15.7622
,,PASTAGRA - ,,,,,,,,55.8961,55.8961
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,3.5,3.0961,3.0961
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,14,18.48,18.48
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,10.5,13.86,13.86
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,8,10.56,10.56
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,7.5,9.9,9.9
,,PESCESUR - ,,,,,,,,119.3932,119.3932
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,7,70.875,70.875
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,5,48.5182,48.5182
,,RISO - ,,,,,,,,48.2411,48.2411
,,,FOO.RIS.00001,RISO BASMATI,KG,GR,1000.0,3.9,2,7.8,7.8
,,,FOO.RIS.00002,RISO ARBORIO,KG,GR,1000.0,2.1895,17,40.4411,40.4411
,,SCATOLAM - ,,,,,,,,107.0812,107.0812
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,10,14.4281,14.4281
,,,FOO.SCA.00005,FUNGHI CHAMPIGNON 400GRX24PZ,PZ,PZ,1.0,0.5,1,0.5,0.5
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,7,8.576,8.576
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,5,5.55,5.55
,,,FOO.SCA.00012,FAGIOLI BORLOTTI 400GRX12PZ,PZ,PZ,1.0,0.8551,29,24.7039,24.7039
,,,FOO.SCA.00013,TONNO' 80GR,PZ,PZ,1.0,2.4397,20,48.794,48.794
,,,FOO.SCA.00019,LENTICCHIE GR 400,PZ,PZ,1.0,2.6327,2,4.5292,4.5292
,,SEMILSAL - ,,,,,,,,108.55,108.55
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,13,108.55,108.55
,,SPEZIECO - ,,,,,,,,4.52,4.52
,,,FOO.SPE.00013,KETCHUP 875ML,PZ,PZ,1.0,4.7533,1,4.52,4.52
,VARIE - ,,,,,,,,,48.933,48.933
,,CARTBUSA - ,,,,,,,,15.2459,15.2459
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,4,15.2459,15.2459
,,MONOUSO - ,,,,,,,,33.6871,33.6871
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,5,25.1871,25.1871
,,,VAR.MON.00027,BICCHIERI PLASTICA BIANCHI 8CL 1CFX100PZ,CF,CF,1.0,1.0,4,4.0,4.0
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,1,4.5,4.5
,,,,,,,,,TOTALE,790.9771,790.9771
