Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,675.3005,675.3005
,BEVERAGE - ,,,,,,,,,80.2697,80.2697
,,ACQUA - ,,,,,,,,46.2697,46.2697
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,216,46.2697,46.2697
,,CAFFETT - ,,,,,,,,34.0,34.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,2,34.0,34.0
,FOOD - ,,,,,,,,,567.656,567.656
,,CARNEBIA - ,,,,,,,,165.1155,165.1155
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,37.64,155.8655,155.8655
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,2.5,9.25,9.25
,,CARNEROS - ,,,,,,,,116.1447,116.1447
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,16.24,116.1447,116.1447
,,MONODOLC - ,,,,,,,,9.5966,9.5966
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,3.5,9.5966,9.5966
,,PASTAGRA - ,,,,,,,,39.1853,39.1853
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,5.5,4.8653,4.8653
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,12,15.84,15.84
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,2,2.64,2.64
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,9,11.88,11.88
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,3,3.96,3.96
,,PESCESUR - ,,,,,,,,148.7456,148.7456
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,8,81.0,81.0
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,6.5,67.7456,67.7456
,,SCATOLAM - ,,,,,,,,39.7853,39.7853
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,3,4.3948,4.3948
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,17,20.8267,20.8267
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,7,7.77,7.77
,,,FOO.SCA.00019,LENTICCHIE GR 400,PZ,PZ,1.0,2.6327,3,6.7938,6.7938
,,SEMILDOL - ,,,,,,,,24.033,24.033
,,,FOO.SDO.00042,BISCOTTI GRAN MERENDA 500GR,CF,CF,1.0,2.3517,10,24.033,24.033
,,SEMILSAL - ,,,,,,,,25.05,25.05
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,3,25.05,25.05
,VARIE - ,,,,,,,,,27.3748,27.3748
,,MONOUSO - ,,,,,,,,27.3748,27.3748
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,2,10.0748,10.0748
,,,VAR.MON.00027,BICCHIERI PLASTICA BIANCHI 8CL 1CFX100PZ,CF,CF,1.0,1.0,4,4.0,4.0
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,1,4.5,4.5
,,,VAR.MON.00047,BICCHIERI CARTA 300ML 10CFX100PZ,CF,CF,1.0,8.8,1,8.8,8.8
,,,,,,,,,TOTALE,675.3005,675.3005
