Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,796.324,796.324
,BEVERAGE - ,,,,,,,,,139.6723,139.6723
,,ACQUA - ,,,,,,,,39.6723,39.6723
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,192,39.6723,39.6723
,,CAFFETT - ,,,,,,,,100.0,100.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,5,85.0,85.0
,,,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100.0,15.0,1,15.0,15.0
,FOOD - ,,,,,,,,,598.5529,598.5529
,,CARNEBIA - ,,,,,,,,245.3763,245.3763
,,,FOO.CBI.00002,COSCIOTTI DI POLLO,KG,KG,1.0,4.0404,42.668,234.2763,234.2763
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,3,11.1,11.1
,,CARNEROS - ,,,,,,,,65.11,65.11
,,,FOO.CRO.00002,LONZA DI MAIALE,KG,KG,1.0,7.6894,8.9,65.11,65.11
,,PASTAGRA - ,,,,,,,,55.3203,55.3203
,,,FOO.PST.00001,PASTA DITALI 500GR,KG,GR,1000.0,1.2449,2.5,3.1123,3.1123
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,8,10.56,10.56
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,16,23.168,23.168
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,6,7.92,7.92
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,8,10.56,10.56
,,PESCESUR - ,,,,,,,,109.0164,109.0164
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,8,81.0,81.0
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,2.5,28.0164,28.0164
,,SCATOLAM - ,,,,,,,,51.8079,51.8079
,,,FOO.SCA.00002,MAIS IN SCATOLA 326GRX24PZ,PZ,PZ,1.0,1.1372,4,4.5489,4.5489
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,14,16.3915,16.3915
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,4,4.0733,4.0733
,,,FOO.SCA.00012,FAGIOLI BORLOTTI 400GRX12PZ,PZ,PZ,1.0,0.8551,30,26.7942,26.7942
,,SEMILSAL - ,,,,,,,,71.922,71.922
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,6,50.1,50.1
,,,FOO.SSA.00016,"PATATE SURGELATE STICK 2,5KG X 4PZ",KG,GR,1000.0,2.1822,10,21.822,21.822
,PULIZIA - ,,,,,,,,,3.45,3.45
,,DETERGEN - ,,,,,,,,3.45,3.45
,,,PUL.DET.00052,BRILLANTANTE LAVASTOVIGLIE WINNI'S,PZ,PZ,1.0,2.6,1,2.6,2.6
,,,PUL.DET.00053,SALE PER LAVASTOVIGLIE WINNI'S,PZ,PZ,1.0,0.85,1,0.85,0.85
,VARIE - ,,,,,,,,,54.6488,54.6488
,,CARTBUSA - ,,,,,,,,49.0661,49.0661
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,13,49.0661,49.0661
,,MONOUSO - ,,,,,,,,5.5827,5.5827
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,1,5.5827,5.5827
,,,,,,,,,TOTALE,796.324,796.324
