Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,620.5864,620.5864
,BEVERAGE - ,,,,,,,,,125.6612,125.6612
,,ACQUA - ,,,,,,,,28.1148,28.1148
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,138,28.1148,28.1148
,,CAFFETT - ,,,,,,,,67.7,67.7
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,3,51.0,51.0
,,,BEV.CAF.00027,CIOCCOLATO SOLUBILE 1KG,PZ,PZ,1.0,16.7,1,16.7,16.7
,,SOFDRINK - ,,,,,,,,29.8464,29.8464
,,,BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,BT,BT,1.0,0.4436,24,10.6464,10.6464
,,,BEV.SOF.00058,COCA COLA 2LTX6PZ,BT,BT,1.0,1.6,12,19.2,19.2
,FOOD - ,,,,,,,,,442.074,442.074
,,CARNEBIA - ,,,,,,,,22.2,22.2
,,,FOO.CBI.00003,COTOLETTA DI POLLO GELO,KG,GR,1000.0,3.7,6,22.2,22.2
,,CEREALI - ,,,,,,,,2.5832,2.5832
,,,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1.0,5.1664,0.5,2.5832,2.5832
,,GELATCON - ,,,,,,,,38.85,38.85
,,,FOO.GCO.00016,GELATO CROCCANTE AMARENA 1CTX32PZ,PZ,PZ,1.0,1.19,17,20.23,20.23
,,,FOO.GCO.00018,GELATO LIUK 1CTX32PZ,PZ,PZ,1.0,1.19,6,7.14,7.14
,,,FOO.GCO.00021,GELATO COPPA KIMBO 1CTX24PZ,PZ,PZ,1.0,1.64,7,11.48,11.48
,,MONODOLC - ,,,,,,,,2.7154,2.7154
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,1,2.7154,2.7154
,,PANE - ,,,,,,,,3.5492,3.5492
,,,FOO.PAN.00001,PANE BIANCO IN CASSETTA GR.400,CF,CF,1.0,1.1831,3,3.5492,3.5492
,,PASTAGRA - ,,,,,,,,34.684,34.684
,,,FOO.PST.00003,PASTA PENNE LISCE 500GR,KG,GR,1000.0,1.32,8,10.56,10.56
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,8,11.584,11.584
,,,FOO.PST.00006,PASTA TUBETTONI 500GR,KG,KG,1.0,1.32,3,3.96,3.96
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,6.5,8.58,8.58
,,PESCESUR - ,,,,,,,,94.3695,94.3695
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,6,60.75,60.75
,,,FOO.PSU.00002,BASTONCINI DI MERLUZZO,KG,KG,1.0,11.2065,3,33.6195,33.6195
,,SCATOLAM - ,,,,,,,,30.3916,30.3916
,,,FOO.SCA.00009,PISELLI 300GR X 12PZ,PZ,PZ,1.0,2.99,19,22.2452,22.2452
,,,FOO.SCA.00010,CECI 400GRX3PZ,PZ,PZ,1.0,1.0183,8,8.1464,8.1464
,,SEMILDOL - ,,,,,,,,4.7033,4.7033
,,,FOO.SDO.00042,BISCOTTI GRAN MERENDA 500GR,CF,CF,1.0,2.3517,2,4.7033,4.7033
,,SEMILSAL - ,,,,,,,,25.05,25.05
,,,FOO.SSA.00014,CORDON BLUE,KG,KG,1.0,8.35,3,25.05,25.05
,,SNACKDOL - ,,,,,,,,27.5,27.5
,,,FOO.SND.00001,RINGO CACAO 24PZ,PZ,PZ,1.0,0.6875,23,15.8125,15.8125
,,,FOO.SND.00002,RINGO VANIGLIA 24PZ,PZ,PZ,1.0,0.6875,17,11.6875,11.6875
,,SNACKSAL - ,,,,,,,,77.9864,77.9864
,,,FOO.SNS.00007,PATATINE FONZIES 60PZ,PZ,PZ,1.0,0.9031,63,56.8953,56.8953
,,,FOO.SNS.00008,PATATINE CIPSTER 35GR X 22PZ,PZ,PZ,1.0,0.7273,7,5.0911,5.0911
,,,FOO.SNS.00013,PATATINE SAN CARLO VIVACE 50GRX20PZ,PZ,PZ,1.0,0.8,20,16.0,16.0
,,SPEZIECO - ,,,,,,,,77.4914,77.4914
