Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
DIPEND,,,,,,,,,,288.0201,288.0201
,BEVERAGE - ,,,,,,,,,71.2566,71.2566
,,ACQUA - ,,,,,,,,5.3952,5.3952
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,12,1.7952,1.7952
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,24,3.6,3.6
,,CAFFETT - ,,,,,,,,63.3992,63.3992
,,,BEV.CAF.00002,CAFFE' GINSENG 500 G,PZ,PZ,1.0,26.8,1,26.8,26.8
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,1,17.0,17.0
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,1,1.2891,1.2891
,,,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25.0,2.2606,1,2.2606,2.2606
,,,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25.0,1.905,1,1.905,1.905
,,,BEV.CAF.00007,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ,CF,PZ,25.0,1.9015,1,1.9015,1.9015
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,1,3.2405,3.2405
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,1,3.211,3.211
,,,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1.0,5.7915,1,5.7915,5.7915
,,SOFDRINK - ,,,,,,,,2.4622,2.4622
,,,BEV.SOF.00025,SUCCO ARANCIA BIONDA BRICK 1LT,LT,CL,100.0,1.0489,1,1.0489,1.0489
,,,BEV.SOF.00026,SUCCO ANANAS BRICK 1LT,LT,CL,100.0,1.4133,1,1.4133,1.4133
,FOOD - ,,,,,,,,,216.7635,216.7635
,,MONODOLC - ,,,,,,,,6.905,6.905
,,,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1.0,0.1381,50,6.905,6.905
,,PESCESUR - ,,,,,,,,10.125,10.125
,,,FOO.PSU.00001,FILETTI DI MERLUZZO,KG,KG,1.0,10.125,1,10.125,10.125
,,SEMILDOL - ,,,,,,,,199.7335,199.7335
,,,FOO.SDO.00002,CORNETTO GLASSATO CREMA 90GRX50PZ,PZ,PZ,1.0,0.618,31,19.158,19.158
,,,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1.0,15.0618,1,15.0618,15.0618
,,,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1.0,14.9028,1,14.9028,14.9028
,,,FOO.SDO.00006,TORTA ARTIGIANALE ALLE CAROTE 1 KG,PZ,PZ,1.0,14.8271,1,14.8271,14.8271
,,,FOO.SDO.00007,PLUMCAKE ARTIGIANALE CACAO 800GR,PZ,PZ,1.0,10.9522,1,10.9522,10.9522
,,,FOO.SDO.00011,SACCOTTINO AL CIOCCOLATO 30GRX150PZ,PZ,PZ,1.0,0.3513,20,7.026,7.026
,,,FOO.SDO.00015,"KRAPFEN AL CIOCCOLATO 20GRX2,5KG",KG,KG,1.0,16.24,1.5,24.36,24.36
,,,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1.0,0.4629,40,18.516,18.516
,,,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1.0,0.4629,52,24.0708,24.0708
,,,FOO.SDO.00028,PLUMCAKE ARTIGIANALE AL LIMONE 800 GR,PZ,PZ,1.0,11.6737,1,11.6737,11.6737
,,,FOO.SDO.00029,TORTA  ARTIGIANALE ALLE MELE 1 KG,PZ,PZ,1.0,15.0679,1,15.0679,15.0679
,,,FOO.SDO.00049,CONCHIGLIA PANNA LATTE GR 90 X PZ 60,PZ,PZ,1.0,0.6417,26,16.6842,16.6842
,,,FOO.SDO.00051,CIAMBELLA MAXI ZUCCHERATA GR 95 X PZ 30,PZ,PZ,1.0,0.7433,10,7.433,7.433
,,,,,,,,,TOTALE,288.0201,288.0201
