Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,589.2572,589.2572
,BEVERAGE - ,,,,,,,,,8.4039,8.4039
,,ACQUA - ,,,,,,,,1.806,1.806
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,12,1.806,1.806
,,LATTE - ,,,,,,,,2.1854,2.1854
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,1,1.1843,1.1843
,,,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1.0,1.04,1,1.0011,1.0011
,,SOFDRINK - ,,,,,,,,4.4125,4.4125
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,6,4.4125,4.4125
,FOOD - ,,,,,,,,,335.557,335.557
,,FORMAGG - ,,,,,,,,107.0327,107.0327
,,,FOO.FOR.00004,FORMAGGIO PARMIGIANO REGGIANO,KG,GR,1000.0,15.488,1.358,21.0327,21.0327
,,,FOO.FOR.00009,PROVOLONE DEL MONACO,KG,GR,1000.0,20.0,4.3,86.0,86.0
,,FRUTTSEC - ,,,,,,,,46.08,46.08
,,,FOO.FRS.00003,PINOLI,KG,GR,1.0,65.0,0.5,46.08,46.08
,,OLIO - ,,,,,,,,39.168,39.168
,,,FOO.OLI.00001,OLIO ARACHIDI LT.1,LT,LT,1.0,3.2,12,39.168,39.168
,,PESCEFRE - ,,,,,,,,15.4,15.4
,,,FOO.PES.00001,VONGOLE,KG,KG,1.0,15.4,1,15.4,15.4
,,SCATOLAM - ,,,,,,,,43.283,43.283
,,,FOO.SCA.00003,POMODORINI POMILIA 400GRX24PZ,PZ,PZ,1.0,1.0485,24,18.145,18.145
,,,FOO.SCA.00006,PASSATA DI POMODORO POMILIA 700GRX12,PZ,PZ,1.0,1.1271,24,25.138,25.138
,,SEMILDOL - ,,,,,,,,79.4233,79.4233
,,,FOO.SDO.00009,SFOGLIATELLE FROLLE 27GRX7KG,KG,KG,1.0,6.7571,0.54,3.6489,3.6489
,,,FOO.SDO.00010,SFOGLIATELLE RICCE 27GRX7KG,KG,KG,1.0,6.7571,0.54,3.6489,3.6489
,,,FOO.SDO.00011,SACCOTTINO AL CIOCCOLATO 30GRX150PZ,PZ,PZ,1.0,0.3513,20,7.0261,7.0261
,,,FOO.SDO.00012,GIRELLA CREMA E UVETTA 30GRX150PZ,PZ,PZ,1.0,0.3513,20,7.0261,7.0261
,,,FOO.SDO.00019,CORNETTO PRINCIPINO CIOCCOLATO 35GRX85PZ,PZ,PZ,1.0,0.3271,20,6.54,6.54
,,,FOO.SDO.00025,SACCOTTINO CEREALI F. DI BOSCO 85GRX60PZ,PZ,PZ,1.0,0.6067,20,12.1333,12.1333
,,,FOO.SDO.00026,BOCCONDORO 45GRX15PZ,PZ,PZ,1.0,1.3133,30,39.4,39.4
,,SPEZIECO - ,,,,,,,,5.17,5.17
,,,FOO.SPE.00015,CHIODI DI GAROFANO 20GR,PZ,PZ,1.0,2.585,2,5.17,5.17
,PROPDIRE - ,,,,,,,,,27.16,27.16
,,PROPDIRE - ,,,,,,,,27.16,27.16
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,1,27.16,27.16
,PULIZIA - ,,,,,,,,,110.7979,110.7979
,,DETERGEN - ,,,,,,,,110.7979,110.7979
,,,PUL.DET.00005,DETERGENTE SYD VETRI 750MLX12PZ,PZ,PZ,1.0,2.3411,15,25.1526,25.1526
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,6,12.24,12.24
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,5.4167,5.4167
