Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,368.6741,368.6741
,BEVERAGE - ,,,,,,,,,16.8372,16.8372
,,ACQUA - ,,,,,,,,3.6,3.6
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,12,3.6,3.6
,,SOFDRINK - ,,,,,,,,13.2372,13.2372
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,18,13.2372,13.2372
,FOOD - ,,,,,,,,,172.7491,172.7491
,,FORMAGG - ,,,,,,,,30.5467,30.5467
,,,FOO.FOR.00006,FIOR DI LATTE,KG,GR,1000.0,7.7734,2,15.5467,15.5467
,,,FOO.FOR.00010,PROVOLA,KG,GR,1000.0,7.5,1,7.5,7.5
,,,FOO.FOR.00011,SFOGLIA DI MOZZARELLA,KG,GR,1000.0,7.5,1,7.5,7.5
,,FRUTTFRE - ,,,,,,,,77.6561,77.6561
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,14,30.8846,30.8846
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,24.5,40.4292,40.4292
,,,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000.0,1.821,3.5,6.3423,6.3423
,,PANE - ,,,,,,,,15.67,15.67
,,,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1.0,10.2,1,10.2,10.2
,,,FOO.PAN.00007,PANE GRAN CUORE MULINO BIANCO,CF,CF,1.0,2.735,2,5.47,5.47
,,SCATOLAM - ,,,,,,,,48.8763,48.8763
,,,FOO.SCA.00003,POMODORINI POMILIA 400GRX24PZ,PZ,PZ,1.0,1.0485,24,22.2413,22.2413
,,,FOO.SCA.00006,PASSATA DI POMODORO POMILIA 700GRX12,PZ,PZ,1.0,1.1271,24,26.635,26.635
,MANUTENZ - ,,,,,,,,,20.57,20.57
,,GIARDINA - ,,,,,,,,14.75,14.75
,,,MAN.MPG.00002,FORBICE PER VIGNA,PZ,PZ,1.0,14.75,1,14.75,14.75
,,MAT.VARI - ,,,,,,,,0.49,0.49
,,,MAN.MAV.00020,TARGHETTA PORTACHIAVI,PZ,PZ,1.0,0.245,2,0.49,0.49
,,STRMAN - ,,,,,,,,5.33,5.33
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,2,5.33,5.33
,PROPDIRE - ,,,,,,,,,114.06,114.06
,,PROPDIRE - ,,,,,,,,114.06,114.06
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,3,114.06,114.06
,PULIZIA - ,,,,,,,,,12.6944,12.6944
,,DETERGEN - ,,,,,,,,7.9,7.9
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,1,4.0,4.0
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,1,3.9,3.9
,,STRPULIZ - ,,,,,,,,4.7944,4.7944
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,1,1.15,1.15
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,2,3.6444,3.6444
,VARIE - ,,,,,,,,,31.7634,31.7634
,,CARTBUSA - ,,,,,,,,2.2601,2.2601
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,2,2.2601,2.2601
,,MONOUSO - ,,,,,,,,29.5033,29.5033
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,6,4.0033,4.0033
,,,VAR.MON.00014,BICCHIERI PLASTICA KRISTAL 25CL20CFX50PZ,CF,CF,1.0,1.7,15,25.5,25.5
,,,,,,,,,TOTALE,368.6741,368.6741
