Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,1330.0034,1330.0034
,BEVERAGE - ,,,,,,,,,10.8507,10.8507
,,ACQUA - ,,,,,,,,10.8507,10.8507
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,24,10.8507,10.8507
,FOOD - ,,,,,,,,,221.6514,221.6514
,,FORMAGG - ,,,,,,,,8.0,8.0
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,0.5,8.0,8.0
,,FRUTTFRE - ,,,,,,,,171.5215,171.5215
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,81.5,92.0215,92.0215
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,11,48.0,48.0
,,,FOO.FRU.00013,PESCHE GIALLE,KG,GR,1000.0,2.5,5,15.0,15.0
,,,FOO.FRU.00017,PESCHE SCHIACCIATE,KG,GR,1000.0,3.0,5.5,16.5,16.5
,,LATTICIN - ,,,,,,,,9.728,9.728
,,,FOO.LAT.00006,RICOTTA,KG,GR,1000.0,7.5,2,9.728,9.728
,,SEMILDOL - ,,,,,,,,32.4019,32.4019
,,,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1.0,0.4629,35,16.2007,16.2007
,,,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1.0,0.4629,35,16.2012,16.2012
,PROPDIRE - ,,,,,,,,,1041.02,1041.02
,,PROPDIRE - ,,,,,,,,1041.02,1041.02
,,,ACQDIREZIONE,ACQUISTI DIREZIONE,PZ,PZ,1.0,115.335,3,1013.9,1013.9
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,1,27.12,27.12
,VARIE - ,,,,,,,,,56.4813,56.4813
,,CARTBUSA - ,,,,,,,,17.6813,17.6813
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,72,17.6813,17.6813
,,MONOUSO - ,,,,,,,,38.8,38.8
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,12,10.2,10.2
,,,VAR.MON.00014,BICCHIERI PLASTICA KRISTAL 25CL20CFX50PZ,CF,CF,1.0,1.7,8,13.6,13.6
,,,VAR.MON.00015,PIATTI PIANO PLASTICA BIO 28CFX50PZ,CF,CF,1.0,3.0,5,15.0,15.0
,,,,,,,,,TOTALE,1330.0034,1330.0034
