Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,911.6389,911.6389
,FOOD - ,,,,,,,,,347.0745,347.0745
,,FORMAGG - ,,,,,,,,8.0,8.0
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,0.5,8.0,8.0
,,FRUTTFRE - ,,,,,,,,286.9184,286.9184
,,,FOO.FRU.00006,PERE,KG,GR,1000.0,2.8,4,11.2,11.2
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,113,110.2284,110.2284
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,16,85.0,85.0
,,,FOO.FRU.00013,PESCHE GIALLE,KG,GR,1000.0,2.5,6.6,18.48,18.48
,,,FOO.FRU.00014,PERCOCHE,KG,KG,1.0,2.5,6.4,17.92,17.92
,,,FOO.FRU.00018,NOCI PESCHE,KG,GR,1000.0,2.5,4.1,10.25,10.25
,,,FOO.FRU.00019,NETTARINE SCHIACCIATINE,KG,GR,1000.0,2.7,6.2,16.74,16.74
,,,FOO.FRU.00020,PRUGNE,KG,GR,1000.0,1.9,9.5,17.1,17.1
,,ORTAGGI - ,,,,,,,,28.0867,28.0867
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,10,10.8845,10.8845
,,,FOO.ORT.00019,PEPERONI ROSSI,KG,KG,1.0,2.4,4.2,8.2163,8.2163
,,,FOO.ORT.00020,PEPERONI GIALLI,KG,KG,1.0,1.8455,4.7,8.9859,8.9859
,,SEMILDOL - ,,,,,,,,24.0694,24.0694
,,,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1.0,14.9028,1,14.8117,14.8117
,,,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6288,4.6288
,,,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6289,4.6289
,PROPDIRE - ,,,,,,,,,500.96,500.96
,,PROPDIRE - ,,,,,,,,500.96,500.96
,,,ACQDIREZIONE,ACQUISTI DIREZIONE,PZ,PZ,1.0,115.335,3,276.92,276.92
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,5,224.04,224.04
,PULIZIA - ,,,,,,,,,17.4429,17.4429
,,DETERGEN - ,,,,,,,,11.7,11.7
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,3,11.7,11.7
,,STRPULIZ - ,,,,,,,,5.7429,5.7429
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,3,5.7429,5.7429
,VARIE - ,,,,,,,,,46.1615,46.1615
,,CANPERS - ,,,,,,,,10.0,10.0
,,,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,PZ,PZ,1.0,0.1,100,10.0,10.0
,,CARTBUSA - ,,,,,,,,3.8115,3.8115
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,1,3.8115,3.8115
,,MONOUSO - ,,,,,,,,32.35,32.35
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,7,5.95,5.95
,,,VAR.MON.00047,BICCHIERI CARTA 300ML 10CFX100PZ,CF,CF,1.0,8.8,3,26.4,26.4
,,,,,,,,,TOTALE,911.6389,911.6389
