Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,631.7689,631.7689
,BEVERAGE - ,,,,,,,,,5.6098,5.6098
,,ACQUA - ,,,,,,,,5.6098,5.6098
,,,BEV.ACQ.00001,ACQUA FERRARELLE 75CL X 12 VAR,BT,BT,1.0,0.4675,12,5.6098,5.6098
,FOOD - ,,,,,,,,,456.6935,456.6935
,,CARNEROS - ,,,,,,,,59.7855,59.7855
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,5,59.7855,59.7855
,,FORMAGG - ,,,,,,,,8.0,8.0
,,,FOO.FOR.00016,SCAGLIE DI GRANA BIRAGHI GR 500,KG,GR,1000.0,16.0,0.5,8.0,8.0
,,FRUTTFRE - ,,,,,,,,220.8034,220.8034
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,5.96,12.6614,12.6614
,,,FOO.FRU.00007,MELE,KG,GR,1000.0,2.8494,4.2,11.76,11.76
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,15.5,19.8199,19.8199
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,24.5,35.9121,35.9121
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,12,90.0,90.0
,,,FOO.FRU.00013,PESCHE GIALLE,KG,GR,1000.0,2.5,6.5,16.25,16.25
,,,FOO.FRU.00014,PERCOCHE,KG,KG,1.0,2.5,5.4,13.5,13.5
,,,FOO.FRU.00020,PRUGNE,KG,GR,1000.0,1.9,11,20.9,20.9
,,MONODOLC - ,,,,,,,,2.7154,2.7154
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,1,2.7154,2.7154
,,ORTAGGI - ,,,,,,,,80.2868,80.2868
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,32,48.1643,48.1643
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,7.5,14.2242,14.2242
,,,FOO.ORT.00019,PEPERONI ROSSI,KG,KG,1.0,2.4,9,17.8983,17.8983
,,PANE - ,,,,,,,,10.2,10.2
,,,FOO.PAN.00006,"PANE FUNGHETTO 1,1KG X 22 FETTEX4CF",CF,CF,1.0,10.2,1,10.2,10.2
,,PESCEFRE - ,,,,,,,,65.6446,65.6446
,,,FOO.PES.00014,SPIGOLA  A,KG,GR,1000.0,22.5558,2.5,65.6446,65.6446
,,SEMILDOL - ,,,,,,,,9.2578,9.2578
,,,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6289,4.6289
,,,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6289,4.6289
,PROPDIRE - ,,,,,,,,,52.13,52.13
,,PROPDIRE - ,,,,,,,,52.13,52.13
,,,ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PZ,PZ,0.0,52.13,1,52.13,52.13
,PULIZIA - ,,,,,,,,,26.8941,26.8941
,,DETERGEN - ,,,,,,,,14.7285,14.7285
,,,PUL.DET.00039,DETERGENTE PIATTI SVELTO 10KG,PZ,PZ,0.0,14.7262,1,14.7285,14.7285
,,STRPULIZ - ,,,,,,,,12.1656,12.1656
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,5,12.1656,12.1656
,VARIE - ,,,,,,,,,90.4415,90.4415
,,CARTBUSA - ,,,,,,,,14.9275,14.9275
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,60,14.9275,14.9275
,,MONOUSO - ,,,,,,,,75.514,75.514
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,13,11.05,11.05
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,17,13.464,13.464
,,,VAR.MON.00014,BICCHIERI PLASTICA KRISTAL 25CL20CFX50PZ,CF,CF,1.0,1.7,5,8.5,8.5
,,,VAR.MON.00015,PIATTI PIANO PLASTICA BIO 28CFX50PZ,CF,CF,1.0,3.0,5,15.0,15.0
,,,VAR.MON.00024,SALVALIQUIDI RETTANGOLARI GR750 1CFX50PZ,PZ,PZ,1.0,0.22,50,11.0,11.0
,,,VAR.MON.00025,SALVALIQUIDI OVALI G1500 1CFX50PZ,PZ,PZ,1.0,0.33,50,16.5,16.5
,,,,,,,,,TOTALE,631.7689,631.7689
