Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,1079.9036,1079.9036
,BEVERAGE - ,,,,,,,,,59.4462,59.4462
,,CAFFETT - ,,,,,,,,17.0,17.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,1,17.0,17.0
,,LATTE - ,,,,,,,,2.432,2.432
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,2,2.432,2.432
,,SOFDRINK - ,,,,,,,,40.0142,40.0142
,,,BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,BT,BT,1.0,0.894,24,21.456,21.456
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,24,18.5582,18.5582
,FOOD - ,,,,,,,,,274.5159,274.5159
,,CARNEROS - ,,,,,,,,41.68,41.68
,,,FOO.CRO.00003,MACINATO DI CARNE,KG,KG,1.0,13.8933,3,41.68,41.68
,,FRUTTFRE - ,,,,,,,,108.4287,108.4287
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,13,30.8086,30.8086
,,,FOO.FRU.00002,ARANCE,KG,GR,1000.0,2.3627,10,18.3532,18.3532
,,,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000.0,1.489,3,4.4669,4.4669
,,,FOO.FRU.00012,KIWI,KG,GR,1000.0,7.5,6,45.0,45.0
,,,FOO.FRU.00021,NOCI GHERIGLI,KG,GR,1000.0,14.0,0.7,9.8,9.8
,,ORTAGGI - ,,,,,,,,100.0817,100.0817
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,11.5,16.5967,16.5967
,,,FOO.ORT.00013,SCAROLA,KG,GR,1000.0,1.875,8,15.085,15.085
,,,FOO.ORT.00015,LATTUGA,PZ,PZ,1.0,1.0714,7,7.5,7.5
,,,FOO.ORT.00022,ZUCCA,KG,KG,1.0,3.0,20.3,60.9,60.9
,,SEMILDOL - ,,,,,,,,24.3255,24.3255
,,,FOO.SDO.00016,MUFFIN MINI MELA CANNELLA 25GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6288,4.6288
,,,FOO.SDO.00017,MUFFIN MINI CACAO 27GRX70PZ,PZ,PZ,1.0,0.4629,10,4.6288,4.6288
,,,FOO.SDO.00029,TORTA  ARTIGIANALE ALLE MELE 1 KG,PZ,PZ,1.0,15.0679,1,15.0679,15.0679
,PROPDIRE - ,,,,,,,,,680.26,680.26
,,PROPDIRE - ,,,,,,,,680.26,680.26
,,,ACQDIREZIONE,ACQUISTI DIREZIONE,PZ,PZ,1.0,115.335,6,680.26,680.26
,PULIZIA - ,,,,,,,,,36.255,36.255
,,DETERGEN - ,,,,,,,,36.255,36.255
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,2,7.8,7.8
,,,PUL.DET.00044,DETERSIVO IN POLVERE X LAV. SUTTER 15KG,PZ,PZ,1.0,28.455,1,28.455,28.455
,VARIE - ,,,,,,,,,29.4265,29.4265
,,CARTBUSA - ,,,,,,,,9.0265,9.0265
,,,VAR.CAR.00010,BUSTE SPAZZATURA 72X110 40PZ ROTOLI,PZ,PZ,1.0,1.5094,1,1.5094,1.5094
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.5171,7.5171
,,MONOUSO - ,,,,,,,,20.4,20.4
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,14,11.9,11.9
,,,VAR.MON.00014,BICCHIERI PLASTICA KRISTAL 25CL20CFX50PZ,CF,CF,1.0,1.7,5,8.5,8.5
,,,,,,,,,TOTALE,1079.9036,1079.9036
