Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,496.3287,496.3287
,FOOD - ,,,,,,,,,220.4027,220.4027
,,PASTAFRE - ,,,,,,,,24.0,24.0
,,,FOO.PSF.00001,SCIALATIELLI ARTIGIANALI GELO,KG,GR,1000.0,3.6,2.5,9.0,9.0
,,,FOO.PSF.00003,RAVIOLI CAPRESI ARTIGIANALI GELO,KG,GR,1000.0,7.5,2,15.0,15.0
,,PASTAGRA - ,,,,,,,,8.4803,8.4803
,,,FOO.PST.00007,PASTA MISTA 500GR,KG,KG,1.0,1.32,1,1.32,1.32
,,,FOO.PST.00011,PASTA SPAGHETTONI GRAGNANESI 500GR,KG,GR,1000.0,3.8,1,3.8,3.8
,,,FOO.PST.00012,PASTA MEZZE MANICHE RIGATE 500GR,KG,GR,1000.0,3.3603,1,3.3603,3.3603
,,PASTICCE - ,,,,,,,,4.5367,4.5367
,,,FOO.PPP.00003,STACCANTE ALIMENTARE SPRAY PER FORNO,PZ,PZ,1.0,4.5367,1,4.5367,4.5367
,,PESCEFRE - ,,,,,,,,150.0,150.0
,,,FOO.PES.0003,ROMBO,KG,GR,1000.0,25.0,6,150.0,150.0
,,SCATOLAM - ,,,,,,,,2.6327,2.6327
,,,FOO.SCA.00019,LENTICCHIE GR 400,PZ,PZ,1.0,2.6327,1,2.6327,2.6327
,,SEMILDOL - ,,,,,,,,29.9646,29.9646
,,,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1.0,15.0618,1,15.0618,15.0618
,,,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1.0,14.9028,1,14.9028,14.9028
,,SPEZIECO - ,,,,,,,,0.7884,0.7884
,,,FOO.SPE.00010,SALE FINO 1KG,KG,KG,1.0,0.3942,2,0.7884,0.7884
,PROPDIRE - ,,,,,,,,,230.67,230.67
,,PROPDIRE - ,,,,,,,,230.67,230.67
,,,ACQDIREZIONE,ACQUISTI DIREZIONE,PZ,PZ,1.0,115.335,2,230.67,230.67
,PULIZIA - ,,,,,,,,,17.5853,17.5853
,,DETERGEN - ,,,,,,,,3.9,3.9
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,1,3.9,3.9
,,STRPULIZ - ,,,,,,,,13.6853,13.6853
,,,PUL.STR.00016,GUANTI MONOUSO 100PZ MISURA L,CF,CF,1.0,3.4091,1,3.4091,3.4091
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,3,5.7762,5.7762
,VARIE - ,,,,,,,,,27.6707,27.6707
,,CARTBUSA - ,,,,,,,,14.946,14.946
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,60,14.946,14.946
,,MONOUSO - ,,,,,,,,12.7247,12.7247
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,2,1.7,1.7
,,,VAR.MON.00005,TOVAGLIOLO TNT 40X40 (16CFX50PZ),CF,CF,1.0,3.6749,3,11.0247,11.0247
,,,,,,,,,TOTALE,496.3287,496.3287
