Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
PROPRIET,,,,,,,,,,170.1001,170.1001
,BEVERAGE - ,,,,,,,,,58.6652,58.6652
,,VINOBIAN - ,,,,,,,,2.6652,2.6652
,,,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1.0,1.3326,2,2.6652,2.6652
,,VINOROSS - ,,,,,,,,56.0,56.0
,,,BEV.VIN.00024,BRUNELLO DI MONTALCINO 75 CL,BT,BT,1.0,28.0,2,56.0,56.0
,FOOD - ,,,,,,,,,34.1841,34.1841
,,CARNEROS - ,,,,,,,,17.9357,17.9357
,,,FOO.CRO.00008,"HAMBURGER FASSONE 200GR 1CT 5,000 KG",KG,GR,1000.0,11.9571,1.5,17.9357,17.9357
,,SEMILDOL - ,,,,,,,,16.2484,16.2484
,,,FOO.SDO.00044,BURRO DI ARACHIDI 800GRX6PZ,PZ,PZ,1.0,16.2484,1,16.2484,16.2484
,PULIZIA - ,,,,,,,,,11.7055,11.7055
,,DETERGEN - ,,,,,,,,11.7055,11.7055
,,,PUL.DET.00005,DETERGENTE SYD VETRI 750MLX12PZ,PZ,PZ,1.0,2.3411,5,11.7055,11.7055
,VARIE - ,,,,,,,,,65.5453,65.5453
,,CARTBUSA - ,,,,,,,,35.5953,35.5953
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,35.5953,35.5953
,,MONOUSO - ,,,,,,,,29.95,29.95
,,,VAR.MON.00013,BICCHIERI PLASTICA KRISTAL 16CL30CFX100P,CF,CF,1.0,1.0,2,2.0,2.0
,,,VAR.MON.00014,BICCHIERI PLASTICA KRISTAL 25CL20CFX50PZ,CF,CF,1.0,1.7,4,6.8,6.8
,,,VAR.MON.00044,SALVALIQUIDI OVALI GR2000 1CFX50PZ,PZ,PZ,1.0,0.423,50,21.15,21.15
,,,,,,,,,TOTALE,170.1001,170.1001
