Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
EVENTI,,,,,,,,,,2770.3618,2770.3618
,BEVERAGE - ,,,,,,,,,384.108,384.108
,,APERITIV - ,,,,,,,,41.9936,41.9936
,,,BEV.APE.00001,SAN BITTER BIANCO 10CL X 40,BT,BT,1.0,0.3371,20,9.44,9.44
,,,BEV.APE.00004,CRODINO 10CL X 48,BT,BT,1.0,0.4681,48,23.3136,23.3136
,,,BEV.APE.00010,SAN BITTER ROSSO 10CL X 40,BT,BT,1.0,0.3159,20,9.24,9.24
,,CAFFETT - ,,,,,,,,102.0,102.0
,,,BEV.CAF.00003,CAFFE IN GRANI,KG,GR,1000.0,17.0,6,102.0,102.0
,,LATTE - ,,,,,,,,4.8637,4.8637
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,4,4.8637,4.8637
,,SOFDRINK - ,,,,,,,,119.9878,119.9878
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,96,89.5968,89.5968
,,,BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,PZ,PZ,1.0,0.7733,2,1.591,1.591
,,,BEV.SOF.00058,COCA COLA 2LTX6PZ,BT,BT,1.0,1.6,18,28.8,28.8
,,VINBOLL - ,,,,,,,,69.0629,69.0629
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,12,69.0629,69.0629
,,VINOBIAN - ,,,,,,,,69.3,69.3
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,21,69.3,69.3
,,VINOROSE - ,,,,,,,,-49.5,-49.5
,,,BEV.VIN.00003,VINO ROSATO SAMMARCO 75 CL,BT,CL,0.75,4.5,-11,-49.5,-49.5
,,VINOROSS - ,,,,,,,,26.4,26.4
,,,BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,BT,CL,0.75,3.3,8,26.4,26.4
,FOOD - ,,,,,,,,,1954.5653,1954.5653
,,CEREALI - ,,,,,,,,12.5,12.5
,,,FOO.CER.00009,SESAMO NERO,KG,GR,1000.0,25.0,0.5,12.5,12.5
,,FARINA - ,,,,,,,,8.29,8.29
,,,FOO.FAR.00001,FARINA 1KG,KG,KG,0.0,1.13,3,3.39,3.39
,,,FOO.FAR.00002,PASTA KATARIFI,PZ,PZ,1000.0,4.9,1,4.9,4.9
,,FORMAGG - ,,,,,,,,18.3848,18.3848
,,,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000.0,7.3838,2.5,18.3848,18.3848
,,FRUTTFRE - ,,,,,,,,76.3716,76.3716
,,,FOO.FRU.00001,ANANAS,KG,GR,1000.0,2.3699,10,17.4936,17.4936
,,,FOO.FRU.00003,LIMONI,KG,GR,1000.0,2.7427,5,10.9629,10.9629
,,,FOO.FRU.00008,ANGURIA,KG,GR,1000.0,1.4229,32,31.2151,31.2151
,,,FOO.FRU.00021,NOCI GHERIGLI,KG,GR,1000.0,14.0,0.3,4.2,4.2
,,,FOO.FRU.00022,FICHI,KG,GR,1000.0,3.5714,3.5,12.5,12.5
,,LATTICIN - ,,,,,,,,151.7,151.7
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,3,22.5,22.5
,,,FOO.LAT.00006,RICOTTA,KG,GR,1000.0,7.5,1,7.5,7.5
,,,FOO.LAT.00008,CILIEGINE 25GR,KG,GR,1000.0,7.5,3,22.5,22.5
,,,FOO.LAT.00010,PANNA DA CUCINA LIQUIDA DEBIC,LT,CL,100.0,4.6,2,9.2,9.2
,,,FOO.LAT.00011,TRECCIONI DI MOZZARELLA,KG,GR,1000.0,7.5,3,22.5,22.5
,,,FOO.LAT.00012,CILIEGINE AFFUMICATE 25GR,KG,GR,1000.0,7.5,3,22.5,22.5
,,,FOO.LAT.00013,CACIOTTINE MISTE 25GR,KG,GR,1000.0,7.5,3,22.5,22.5
,,,FOO.LAT.00014,SFOGLIA DI MOZZARELLA 1KG,KG,GR,1000.0,7.5,3,22.5,22.5
,,MONODOLC - ,,,,,,,,6.1575,6.1575
,,,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1.0,1.2315,5,6.1575,6.1575
,,OLIO - ,,,,,,,,70.7783,70.7783
,,,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1.0,1.4664,15,21.7895,21.7895
