Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
EVENTOLU,,,,,,,,,,268.137,268.137
,FOOD - ,,,,,,,,,176.757,176.757
,,LATTICIN - ,,,,,,,,90.0,90.0
,,,FOO.LAT.00005,PROVOLA,KG,GR,1000.0,7.5,2,15.0,15.0
,,,FOO.LAT.00006,RICOTTA,KG,GR,1000.0,7.5,6,45.0,45.0
,,,FOO.LAT.00011,TRECCIONI DI MOZZARELLA,KG,GR,1000.0,7.5,2,15.0,15.0
,,,FOO.LAT.00014,SFOGLIA DI MOZZARELLA 1KG,KG,GR,1000.0,7.5,2,15.0,15.0
,,PANE - ,,,,,,,,13.6,13.6
,,,FOO.PAN.00012,PANE PELATONE 12X12 33FETTEX6 CF,CF,CF,1.0,13.6,1,13.6,13.6
,,PASTICCE - ,,,,,,,,3.2,3.2
,,,FOO.PPP.00019,PANNA HOPLA 1 LT,LT,CL,100.0,3.2,1,3.2,3.2
,,SCATOLAM - ,,,,,,,,9.257,9.257
,,,FOO.SCA.00015,"PELATI 2,5KG",PZ,PZ,1.0,1.5428,6,9.257,9.257
,,SEMILSAL - ,,,,,,,,60.7,60.7
,,,FOO.SSA.00009,PIZZA MARGHERITA MINI 25GRX2 KG,KG,GR,1000.0,9.95,2,19.9,19.9
,,,FOO.SSA.00024,PURE' DI PATATE PFANNI,KG,GR,1000.0,4.375,4,17.5,17.5
,,,FOO.SSA.00025,PANINO MINI BUN 50 PZ,PZ,PZ,1.0,0.466,50,23.3,23.3
,VARIE - ,,,,,,,,,91.38,91.38
,,MONOUSO - ,,,,,,,,91.38,91.38
,,,VAR.MON.00034,"CONO IN LEGNO 22,5 CM 50PZ",PZ,PZ,1.0,0.1806,50,9.03,9.03
,,,VAR.MON.00049,SPIEDINO APERITIVO BAMBOO 9CM 100PZ,CF,CF,1.0,1.81,1,1.81,1.81
,,,VAR.MON.00055,FINGER QUADRATO CELLULOSA 65X65MM 50PZ,CF,CF,1.0,3.5,5,17.5,17.5
,,,VAR.MON.00056,FINGER GOCCIA PLASTICA 50PZ,CF,CF,1.0,7.6,1,7.6,7.6
,,,VAR.MON.00057,FINGER QUADRATO CELLULOSA 120CC 50PZ,CF,CF,1.0,8.5,6,51.0,51.0
,,,VAR.MON.00063,SPIEDINI BAMBOO 12CMX100PZ,CF,CF,1.0,4.44,1,4.44,4.44
,,,,,,,,,TOTALE,268.137,268.137
