Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
EVENTO,,,,,,,,,,397.9227,397.9227
,BEVERAGE - ,,,,,,,,,92.1458,92.1458
,,LATTE - ,,,,,,,,7.2958,7.2958
,,,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1.0,1.216,6,7.2958,7.2958
,,SOFDRINK - ,,,,,,,,7.4664,7.4664
,,,BEV.SOF.00011,COCA COLA 45CL X 24 PET,BT,BT,1.0,0.139,8,7.4664,7.4664
,,VINBOLL - ,,,,,,,,57.5836,57.5836
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,10,57.5836,57.5836
,,VINOBIAN - ,,,,,,,,19.8,19.8
,,,BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,BT,CL,0.75,3.3,6,19.8,19.8
,FOOD - ,,,,,,,,,292.2769,292.2769
,,CARNEBIA - ,,,,,,,,94.862,94.862
,,,FOO.CBI.00001,PETTO DI POLLO INTERO,KG,KG,1.0,9.4794,11.8,94.862,94.862
,,CARNEROS - ,,,,,,,,73.5,73.5
,,,FOO.CRO.00004,REALE BOVINO ADULTO SV,KG,GR,1000.0,9.5,7,73.5,73.5
,,FORMAGG - ,,,,,,,,4.8555,4.8555
,,,FOO.FOR.00008,FORMAGGIO GRATTUGGIATO 1KG,KG,GR,1000.0,12.1388,0.4,4.8555,4.8555
,,LATTICIN - ,,,,,,,,15.0,15.0
,,,FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,KG,GR,1000.0,7.5,2,15.0,15.0
,,ORTAGGI - ,,,,,,,,13.6967,13.6967
,,,FOO.ORT.00007,MELENZANE,KG,KG,1.0,1.6,2,3.0103,3.0103
,,,FOO.ORT.0009,INSALATA ICEBERG,PZ,PZ,1.0,1.6667,9,10.6864,10.6864
,,PASTAGRA - ,,,,,,,,8.688,8.688
,,,FOO.PST.00005,PASTA RIGATONI 500GR,KG,KG,1.0,1.448,6,8.688,8.688
,,PASTICCE - ,,,,,,,,49.5,49.5
,,,FOO.PPP.00021,SAVOIARDI GR 300,PZ,PZ,1.0,1.8,6,10.8,10.8
,,,FOO.PPP.00022,MASCARPONE 500GR,KG,GR,1.0,9.6833,4,38.7,38.7
,,SCATOLAM - ,,,,,,,,3.0857,3.0857
,,,FOO.SCA.00015,"PELATI 2,5KG",PZ,PZ,1.0,1.5428,2,3.0857,3.0857
,,SEMILDOL - ,,,,,,,,25.2,25.2
,,,FOO.SDO.00060,BABBA',KG,GR,1000.0,8.4,3,25.2,25.2
,,UOVA - ,,,,,,,,3.889,3.889
,,,FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,PZ,PZ,1.0,0.185,22,3.889,3.889
,VARIE - ,,,,,,,,,13.5,13.5
,,MONOUSO - ,,,,,,,,13.5,13.5
,,,VAR.MON.00059,PIROTTINI PER BABBA',PZ,PZ,1.0,0.018,750,13.5,13.5
,,,,,,,,,TOTALE,397.9227,397.9227
