Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,268.553,268.553
,PULIZIA - ,,,,,,,,,155.8882,155.8882
,,DETERGEN - ,,,,,,,,42.3628,42.3628
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,12,24.48,24.48
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,5.4167,5.4167
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,1,4.0,4.0
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,12,6.1132,6.1132
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,1,2.3529,2.3529
,,STRPULIZ - ,,,,,,,,113.5254,113.5254
,,,PUL.STR.00004,SCOPINO WC,PZ,PZ,1.0,3.0,4,12.0,12.0
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,26,5.2,5.2
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,26,29.9,29.9
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,3,6.0723,6.0723
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,17,25.0526,25.0526
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,1,1.2537,1.2537
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,4,11.2,11.2
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,7,18.3468,18.3468
,VARIE - ,,,,,,,,,112.6648,112.6648
,,CARTBUSA - ,,,,,,,,80.8198,80.8198
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,360,77.5385,77.5385
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,3,3.2813,3.2813
,,CORTGEN - ,,,,,,,,31.845,31.845
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,193,31.845,31.845
,,,,,,,,,TOTALE,268.553,268.553
