Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,311.2871,311.2871
,FOOD - ,,,,,,,,,1.4216,1.4216
,,SPEZIECO - ,,,,,,,,1.4216,1.4216
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,3,1.4216,1.4216
,PULIZIA - ,,,,,,,,,161.5655,161.5655
,,DETERGEN - ,,,,,,,,18.9029,18.9029
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,1,4.0,4.0
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,1,2.3529,2.3529
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,20,8.0,8.0
,,,PUL.DET.00037,BUSTINE AMMORBIDENTE 50ML,PZ,PZ,1.0,0.35,13,4.55,4.55
,,STRPULIZ - ,,,,,,,,142.6626,142.6626
,,,PUL.STR.00004,SCOPINO WC,PZ,PZ,1.0,3.0,5,15.0,15.0
,,,PUL.STR.00005,BASTONE PER SCOPA,PZ,PZ,1.0,1.229,7,6.0089,6.0089
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,2,3.2354,3.2354
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,52,15.0271,15.0271
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,34,39.1,39.1
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,7,15.617,15.617
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,5,7.3685,7.3685
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,4,5.0148,5.0148
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,6,16.8,16.8
,,,PUL.STR.00035,SECCHI AZZURRI,PZ,PZ,1.0,3.1035,-2,-7.3258,-7.3258
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,12,21.8667,21.8667
,,,PUL.STR.00039,PAD PER BAGNO ROSSO (FOR),PZ,PZ,1.0,4.95,3,14.85,14.85
,,,PUL.STR.00040,PAD PER CAMERE BLU (FOR),PZ,PZ,1.0,4.95,-2,-9.9,-9.9
,VARIE - ,,,,,,,,,148.3,148.3
,,CARTBUSA - ,,,,,,,,105.415,105.415
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,426,97.5047,97.5047
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,7,7.9103,7.9103
,,CORTGEN - ,,,,,,,,1.155,1.155
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,7,1.155,1.155
,,CORTPERS - ,,,,,,,,41.73,41.73
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,321,41.73,41.73
,,,,,,,,,TOTALE,311.2871,311.2871
