Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,493.7942,493.7942
,FOOD - ,,,,,,,,,3.6737,3.6737
,,SPEZIECO - ,,,,,,,,3.6737,3.6737
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,5,3.6737,3.6737
,PULIZIA - ,,,,,,,,,94.1933,94.1933
,,DETERGEN - ,,,,,,,,26.1121,26.1121
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,6.0076,6.0076
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,2,14.2222,14.2222
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,2,5.8823,5.8823
,,STRPULIZ - ,,,,,,,,68.0812,68.0812
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,9,2.601,2.601
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,44,50.6,50.6
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,8,14.8802,14.8802
,VARIE - ,,,,,,,,,395.9272,395.9272
,,CARTBUSA - ,,,,,,,,220.0526,220.0526
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,654,156.3439,156.3439
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,21,24.0616,24.0616
,,CORTGEN - ,,,,,,,,130.3746,130.3746
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,150,22.5,22.5
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,450,107.8746,107.8746
,,CORTPERS - ,,,,,,,,45.5,45.5
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,350,45.5,45.5
,,,,,,,,,TOTALE,493.7942,493.7942
