Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,1207.1508,1207.1508
,FOOD - ,,,,,,,,,5.4808,5.4808
,,SPEZIECO - ,,,,,,,,5.4808,5.4808
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,7,5.4808,5.4808
,PULIZIA - ,,,,,,,,,226.1158,226.1158
,,DETERGEN - ,,,,,,,,80.9536,80.9536
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,6.0076,6.0076
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,1,7.2727,7.2727
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,3,8.8233,8.8233
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,120,48.0,48.0
,,,PUL.DET.00037,BUSTINE AMMORBIDENTE 50ML,PZ,PZ,1.0,0.35,31,10.85,10.85
,,STRPULIZ - ,,,,,,,,145.1622,145.1622
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,10,16.177,16.177
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,69,50.8852,50.8852
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,64,73.6,73.6
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,VARIE - ,,,,,,,,,975.5542,975.5542
,,CARTBUSA - ,,,,,,,,252.6809,252.6809
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,702,172.3923,172.3923
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,67,80.2886,80.2886
,,CORTGEN - ,,,,,,,,694.9233,694.9233
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,764,114.6,114.6
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,1526,580.3233,580.3233
,,CORTPERS - ,,,,,,,,27.95,27.95
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,215,27.95,27.95
,,,,,,,,,TOTALE,1207.1508,1207.1508
