Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,1292.5748,1292.5748
,FOOD - ,,,,,,,,,20.8283,20.8283
,,SPEZIECO - ,,,,,,,,20.8283,20.8283
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,26,20.8283,20.8283
,PULIZIA - ,,,,,,,,,366.2935,366.2935
,,DETERGEN - ,,,,,,,,78.6609,78.6609
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,4.08,4.08
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,6.117,6.117
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,2,14.7878,14.7878
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,6,21.1761,21.1761
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,69,27.6,27.6
,,,PUL.DET.00037,BUSTINE AMMORBIDENTE 50ML,PZ,PZ,1.0,0.35,14,4.9,4.9
,,STRPULIZ - ,,,,,,,,287.6326,287.6326
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,4,6.4708,6.4708
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,73,59.8718,59.8718
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,56,64.4,64.4
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,21,3.675,3.675
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,50,95.715,95.715
,,,PUL.STR.00041,TELAIO REFLEX PER MOP (FOR),PZ,PZ,1.0,26.5,2,53.0,53.0
,VARIE - ,,,,,,,,,905.453,905.453
,,CARTBUSA - ,,,,,,,,314.0658,314.0658
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,37.1905,37.1905
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,792,195.2877,195.2877
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,35,41.9405,41.9405
,,CORTGEN - ,,,,,,,,524.9572,524.9572
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,650,97.5,97.5
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,1124,427.4572,427.4572
,,CORTPERS - ,,,,,,,,66.43,66.43
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,511,66.43,66.43
,,,,,,,,,TOTALE,1292.5748,1292.5748
