Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,591.8027,591.8027
,FOOD - ,,,,,,,,,9.7262,9.7262
,,SPEZIECO - ,,,,,,,,9.7262,9.7262
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,12,9.7262,9.7262
,PULIZIA - ,,,,,,,,,142.3342,142.3342
,,DETERGEN - ,,,,,,,,50.3374,50.3374
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,4.845,4.845
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,2,12.6717,12.6717
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,3,23.2207,23.2207
,,,PUL.DET.00026,ACETO DI ALCOOL 1LTX12PZ,PZ,PZ,1.0,0.95,6,5.7,5.7
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,1,3.9,3.9
,,STRPULIZ - ,,,,,,,,91.9968,91.9968
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,3,4.8531,4.8531
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,36,32.9278,32.9278
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,41,49.6659,49.6659
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,26,4.55,4.55
,VARIE - ,,,,,,,,,439.7423,439.7423
,,CARTBUSA - ,,,,,,,,185.539,185.539
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,504,125.3908,125.3908
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,17,20.5011,20.5011
,,CORTGEN - ,,,,,,,,231.5833,231.5833
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,186,27.9,27.9
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,530,203.6833,203.6833
,,CORTPERS - ,,,,,,,,22.62,22.62
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,174,22.62,22.62
,,,,,,,,,TOTALE,591.8027,591.8027
