Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKRES,,,,,,,,,,585.6616,585.6616
,BEVERAGE - ,,,,,,,,,7.1906,7.1906
,,ACQUA - ,,,,,,,,7.1906,7.1906
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,24,3.5906,3.5906
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,24,3.6,3.6
,FOOD - ,,,,,,,,,4.8819,4.8819
,,SPEZIECO - ,,,,,,,,4.8819,4.8819
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,6,4.8819,4.8819
,PULIZIA - ,,,,,,,,,209.7187,209.7187
,,DETERGEN - ,,,,,,,,89.9016,89.9016
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,1,6.3359,6.3359
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,2,15.4804,15.4804
,,,PUL.DET.00013,ACE CANDEGGINA 3LTX6PZ,PZ,PZ,1.0,2.2657,2,4.5314,4.5314
,,,PUL.DET.00026,ACETO DI ALCOOL 1LTX12PZ,PZ,PZ,1.0,0.95,8,7.6,7.6
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,1,4.5989,4.5989
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,37,14.8,14.8
,,,PUL.DET.00037,BUSTINE AMMORBIDENTE 50ML,PZ,PZ,1.0,0.35,12,4.2,4.2
,,,PUL.DET.00042,"ACE GENTILE 2,3LTX6PZ",PZ,PZ,1.0,3.9,1,3.9,3.9
,,,PUL.DET.00044,DETERSIVO IN POLVERE X LAV. SUTTER 15KG,PZ,PZ,1.0,28.455,1,28.455,28.455
,,STRPULIZ - ,,,,,,,,119.8171,119.8171
,,,PUL.STR.00003,SPAZZOLONE TESTA,PZ,PZ,1.0,1.4914,5,7.457,7.457
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,11,17.7947,17.7947
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,20,19.8095,19.8095
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,10,12.3909,12.3909
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,5,12.56,12.56
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,5,12.6015,12.6015
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,5,11.3175,11.3175
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,5,12.111,12.111
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,53,9.275,9.275
,VARIE - ,,,,,,,,,363.8704,363.8704
,,CARTBUSA - ,,,,,,,,159.5716,159.5716
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,404,100.6301,100.6301
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,16,19.2944,19.2944
,,CORTGEN - ,,,,,,,,179.8423,179.8423
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,300,24.2627,24.2627
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,400,155.5796,155.5796
,,CORTPERS - ,,,,,,,,24.4565,24.4565
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,450,24.4565,24.4565
,,,,,,,,,TOTALE,585.6616,585.6616
