Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,116.5125,116.5125
,PULIZIA - ,,,,,,,,,24.1667,24.1667
,,DETERGEN - ,,,,,,,,14.6667,14.6667
,,,PUL.DET.00025,PASTICCHE LAVASTOVIGLIE FAIRY 2CFX100PZ,CF,CF,1.0,14.6667,1,14.6667,14.6667
,,STRPULIZ - ,,,,,,,,9.5,9.5
,,,PUL.STR.00003,SPAZZOLONE TESTA,PZ,PZ,1.0,1.4914,-2,-3.0,-3.0
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,5,1.0,1.0
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,10,11.5,11.5
,VARIE - ,,,,,,,,,92.3458,92.3458
,,CARTBUSA - ,,,,,,,,87.2308,87.2308
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,42.0,42.0
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,210,45.2308,45.2308
,,CORTGEN - ,,,,,,,,5.115,5.115
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,31,5.115,5.115
,,,,,,,,,TOTALE,116.5125,116.5125
