Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,231.3585,231.3585
,PULIZIA - ,,,,,,,,,90.7822,90.7822
,,DETERGEN - ,,,,,,,,17.0196,17.0196
,,,PUL.DET.00025,PASTICCHE LAVASTOVIGLIE FAIRY 2CFX100PZ,CF,CF,1.0,14.6667,1,14.6667,14.6667
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,1,2.3529,2.3529
,,STRPULIZ - ,,,,,,,,73.7626,73.7626
,,,PUL.STR.00003,SPAZZOLONE TESTA,PZ,PZ,1.0,1.4914,2,3.0,3.0
,,,PUL.STR.00004,SCOPINO WC,PZ,PZ,1.0,3.0,4,12.0,12.0
,,,PUL.STR.00005,BASTONE PER SCOPA,PZ,PZ,1.0,1.229,10,8.5841,8.5841
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,11,17.7947,17.7947
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,11,3.1788,3.1788
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,14,16.1,16.1
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,5,13.105,13.105
,VARIE - ,,,,,,,,,140.5763,140.5763
,,CARTBUSA - ,,,,,,,,125.6563,125.6563
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,470,107.5756,107.5756
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,16,18.0807,18.0807
,,CORTGEN - ,,,,,,,,2.31,2.31
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,14,2.31,2.31
,,CORTPERS - ,,,,,,,,12.61,12.61
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,97,12.61,12.61
,,,,,,,,,TOTALE,231.3585,231.3585
