Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,222.2799,222.2799
,PULIZIA - ,,,,,,,,,58.1216,58.1216
,,DETERGEN - ,,,,,,,,14.6667,14.6667
,,,PUL.DET.00025,PASTICCHE LAVASTOVIGLIE FAIRY 2CFX100PZ,CF,CF,1.0,14.6667,1,14.6667,14.6667
,,STRPULIZ - ,,,,,,,,43.4549,43.4549
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,11,17.7947,17.7947
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,9,2.601,2.601
,,,PUL.STR.00016,GUANTI MONOUSO 100PZ MISURA L,CF,CF,1.0,3.4091,1,3.4091,3.4091
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,9,10.35,10.35
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,5,9.3001,9.3001
,VARIE - ,,,,,,,,,164.1583,164.1583
,,CARTBUSA - ,,,,,,,,56.0757,56.0757
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,16,3.8249,3.8249
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,11,12.6037,12.6037
,,CORTGEN - ,,,,,,,,103.0126,103.0126
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,300,45.0,45.0
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,242,58.0126,58.0126
,,CORTPERS - ,,,,,,,,5.07,5.07
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,39,5.07,5.07
,,,,,,,,,TOTALE,222.2799,222.2799
