Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,106.3873,106.3873
,PULIZIA - ,,,,,,,,,32.2393,32.2393
,,STRPULIZ - ,,,,,,,,32.2393,32.2393
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,10,16.177,16.177
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,5,3.6873,3.6873
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,10,11.5,11.5
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,5,0.875,0.875
,VARIE - ,,,,,,,,,74.148,74.148
,,CARTBUSA - ,,,,,,,,7.4651,7.4651
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,6,1.4734,1.4734
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,5,5.9917,5.9917
,,CORTGEN - ,,,,,,,,60.0529,60.0529
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,375,56.25,56.25
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,10,3.8029,3.8029
,,CORTPERS - ,,,,,,,,6.63,6.63
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,51,6.63,6.63
,,,,,,,,,TOTALE,106.3873,106.3873
